school_name,district_name,city,state,admin_approved
Donegal Primary School,Donegal SD,Mount Joy,PA,false
Donegan El Sch,Bethlehem Area SD,Bethlehem,PA,false
Dover Area El Sch,Dover Area SD,Dover,PA,false
The Donoho School,,Anniston,AL,false
Mobile Christian School,,Mobile,AL,false
Ne Miles Jewish Day School,,Birmingham,AL,false
Westminster Christian Academy,,Huntsville,AL,false
Athens Bible School,,Athens,AL,false
Devonshire Alternative Elementary School,Columbus City Schools District,Columbus,OH,false
Mary Miller Junior High School,Georgetown-Ridge Farm CUD 4,Georgetown,IL,false
Santa Fe Hs,Edmond,Edmond,OK,false
Rossville Elementary School,Rossville Con School District,Rossville,IN,false
Fairmont J H,Deer Park Isd,Pasadena,TX,true
Trinity Presbyterian School,,Montgomery,AL,false
Houston Academy,,Dothan,AL,false
Hoonah Jr/Sr High School,Hoonah City School District,Hoonah,AK,false
Rossville Elementary School,Walker County,Rossville,GA,false
Rossville Middle/Senior High Sch,Rossville Con School District,Rossville,IN,false
Roswell High School,Fulton County,Roswell,GA,false
Roswell North Elementary School,Fulton County,Roswell,GA,false
Rothschild Leadership Academy School,Muscogee County,Columbus,GA,false
Round Lake ALOP,Lake ROE,Round Lake,IL,false
Fairmont High,Public Schools of Robeson County,Fairmont,NC,true
Curtis Inge Ms,Noble,Noble,OK,true
Dewar Es,Dewar,Dewar,OK,false
Dewey Es,Dewey,Dewey,OK,false
Shepherd H S,Shepherd Isd,Shepherd,TX,true
Sunset H S,Dallas Isd,Dallas,TX,true
Tioga School,Tioga Isd,Tioga,TX,true
Tuscaloosa Academy,,Tuscaloosa,AL,false
Ums-Wright Preparatory School,,Mobile,AL,false
Randolph School,,Huntsville,AL,false
The Altamont School,,Birmingham,AL,false
Chambers Academy,,Lafayette,AL,false
Cottage Hill Christian Academy at West Campus,,Mobile,AL,false
Dunnams Private School,,Bessemer,AL,false
Edgewood Academy,,Elmore,AL,false
Fort Dale Academy,,Greenville,AL,false
Glen Iris Baptist School,,Birmingham,AL,false
Rossville Middle School,Walker County,Rossville,GA,true
Madison H S,Houston Isd,Houston,TX,true
Dibble Es,Dibble,Dibble,OK,false
Decatur Heritage Christian Academy,,Decatur,AL,false
Fairmont Senior High School,Marion County Schools,Fairmont,WV,false
Fairmont Junior High School,Boise Independent District,Boise,ID,true
Soldotna Prep School,Kenai Peninsula Borough School District,Soldotna,AK,false
Fairplay Middle School,Douglas County,Douglasville,GA,false
Winchester Village Elementary,Perry Township Schools,Indianapolis,IN,false
Winder Elementary School,Barrow County,Winder,GA,false
Winding Ridge Elementary School,MSD Lawrence Township,Indianapolis,IN,false
Mary Moss at Adams Academy,Anne Arundel County Public Schools,Annapolis,MD,true
Bronx High School of Science (The),New York City Geographic District #10,Bronx,NY,false
Fairmont Middle,Public Schools of Robeson County,Fairmont,NC,true
Fairmount High School,Fairmount 18,Fairmount,ND,true
Fairport Senior High School,Fairport Central School District,Fairport,NY,false
Dickson Es,Dickson,Ardmore,OK,false
Dickson Upper Es,Dickson,Ardmore,OK,false
Diehl Sch,Erie City SD,Erie,PA,false
Dierks Es,Broken Bow,Broken Bow,OK,false
Dilley Elementary School,Forest Grove SD 15,Forest Grove,OR,false
Dillsburg El Sch,Northern York County SD,Dillsburg,PA,false
Dingman-Delaware El Sch,Delaware Valley SD,Dingmans Ferry,PA,false
Dingman-Delaware Primary Sch,Delaware Valley SD,Dingmans Ferry,PA,false
Centennial H S,Frisco Isd,Frisco,TX,false
Lyman Ward Military Academy,,Camp Hill,AL,false
Marietta Johnson School of Organic Education,,Fairhope,AL,false
Meadowview Christian School,,Selma,AL,false
Northside Methodist Church & Academy,,Dothan,AL,false
Pickens Academy,,Carrollton,AL,false
Pike Liberal Arts School,,Troy,AL,false
Southern Academy,,Greensboro,AL,false
Johnson H S,North East Isd,San Antonio,TX,false
Discovery Academy,Discovery Academy,Toledo,OH,false
Fairvalley High (Continuation),Covina-Valley Unified,Covina,CA,true
Springwood School,,Lanett,AL,false
Lower Lake High,Konocti Unified,Lower Lake,CA,true
Houston Co High School,Houston County,Erin,TN,true
Round Lake Beach Elem School,Round Lake CUSD 116,Round Lake Beach,IL,false
Marshall H S,Northside Isd,San Antonio,TX,true
Disney Es,Tulsa,Tulsa,OK,false
Riverside High,Loudoun County Public Schools,Leesburg,VA,false
Round Lake Middle School,Round Lake CUSD 116,Round Lake Heights,IL,false
Trinity Christian Academy,,Oxford,AL,false
Cypress Creek High School,Pasco,Wesley Chapel,FL,true
Olympia High,Orange,Orlando,FL,true
Round Lake Senior High School,Round Lake CUSD 116,Round Lake,IL,true
Round Lake Transition Center,Round Lake CUSD 116,Round Lake,IL,false
Rowena Kyle Elementary School,Portage Township Schools,Portage,IN,false
Rowland Elementary School,DeKalb County,Stone Mountain,GA,false
Roxana Sr High School,Roxana CUSD 1,Roxana,IL,true
Roy De Shane Elementary School,Ccsd 93,Carol Stream,IL,false
Lafayette High,St. Joseph,St Joseph,MO,true
Dixie Elementary School,New Lebanon Local School District,New Lebanon,OH,false
Dobbins Early Learning Center,Poland Local,Poland,OH,false
Mary Orr Int,Mansfield Isd,Mansfield,TX,false
Victory Christian Academy,,Millbrook,AL,false
Government Street Christian School,,Mobile,AL,false
Autauga Academy,,Prattville,AL,false
Alabama Christian Academy,,Montgomery,AL,false
Wesleyan Christian Academy,,Citronelle,AL,false
Lee-Scott Academy,,Auburn,AL,false
Ephesus Academy,,Birmingham,AL,false
Big Cove Christian Academy,,Owens Cross Roads,AL,false
Dodson El Sch,Wilkes-Barre Area SD,Wilkes Barre,PA,false
Mobile Junior Academy,,Mobile,AL,false
Lancaster H S,Lancaster Isd,Lancaster,TX,true
East High,Salt Lake District,Salt Lake City,UT,false
