school_name,district_name,city,state,admin_approved
Kenedy H S,Kenedy Isd,Kenedy,TX,true
Pell City High School,Pell City,Pell City,AL,false
Kenilworth Science and Technology Charter School,Kenilworth Science and Technology Charter School,Baton Rouge,LA,true
Kenedy Middle,Kenedy Isd,Kenedy,TX,true
Chapman Parochial School-John Waynegood-Chairman O,,Port Trevorton,PA,false
Peninsula High (Continuation),San Mateo Union High,Burlingame,CA,true
Penn Elementary,San Diego Unified,San Diego,CA,false
Grant Co Detention Ctr,Ephrata School District,EPHRATA,WA,false
Sage Hills High School,Ephrata School District,Ephrata,WA,false
Penngrove Elementary,Petaluma City Elementary,Penngrove,CA,false
Southeast Middle School,East Baton Rouge Parish,Baton Rouge,LA,true
Kendyl Depoali Middle School,Washoe County,Reno,NV,false
Kendyl Depoali Ms Preschool,Washoe County,Reno,NV,false
Kenmare High School,Kenmare 28,Kenmare,ND,true
Kenmore East Senior High School,Kenmore-Tonawanda Union Free School District,Tonawanda,NY,false
Hudson's Bay High School,Vancouver School District,Vancouver,WA,true
Hudtloff Middle School,Clover Park School District,Lakewood,WA,true
Huegel Elementary,Madison Metropolitan School District,Madison,WI,false
Hugh Dingess Elementary School,Logan County Schools,Harts,WV,false
Hugh Mercer Elementary,Fredericksburg City Public Schools,Fredericksburg,VA,false
Huguenot High,Richmond City Public Schools,Richmond,VA,true
Hulan L Whitson Elem,White Salmon Valley School District,White Salmon,WA,false
Hulett School,Crook County School District #1,Hulett,WY,true
Humke Elementary,Nekoosa School District,Nekoosa,WI,false
Hundred High School,Wetzel County Schools,Hundred,WV,false
Cherry Ridge School,,Delta,PA,false
Country Lane School,,Loganton,PA,false
Deerview School,,Mayport,PA,false
Garbers Mennonite School,,Spring Grove,PA,false
Other Schools,Everett School District,Everett,WA,false
Garfield Community Learning Center,Akron City,Akron,OH,true
Kennard-Dale HS,South Eastern SD,Fawn Grove,PA,false
Kennebunk High School,Rsu 21,Kennebunk,ME,false
Kennedy High School,Chicago Public Schools Dist 299,Chicago,IL,true
Southeast Middle School,Cherokee,Cherokee,KS,true
Southeast Polk High School,Southeast Polk Comm School District,Pleasant Hill,IA,false
Southeast Polk Junior High,Southeast Polk Comm School District,Pleasant Hill,IA,false
Southeast Saline Elem,Southeast of Saline,Gypsum,KS,false
Kenmore West Senior High School,Kenmore-Tonawanda Union Free School District,Buffalo,NY,false
Kennard Isd,Kennard Isd,Kennard,TX,true
Kennedale Alter Ed Prog,Kennedale Isd,Kennedale,TX,false
Kennedale H S,Kennedale Isd,Kennedale,TX,true
Kennedale J H,Kennedale Isd,Kennedale,TX,true
Hungary Creek Middle,Henrico County Public Schools,Glen Allen,VA,false
Hunt Middle School,Tacoma School District,Tacoma,WA,false
Hunt Valley Elementary,Fairfax County Public Schools,Springfield,VA,false
Hunters Woods Elementary School for the Arts and Sciences,Fairfax County Public Schools,Reston,VA,false
Huntington East Middle School,Cabell County Schools,Huntington,WV,true
Huntington High School,Cabell County Schools,Huntington,WV,true
Huntington Middle,Newport News City Public Schools,Newport News,VA,false
Huntington Middle School,Cabell County Schools,Huntington,WV,true
Huntington Middle School,Kelso School District,Kelso,WA,true
Huntley Elementary,Appleton Area School District,Appleton,WI,false
Hurley Elementary,Hurley School District,Hurley,WI,false
Hurley Elementary/Middle,Buchanan County Public Schools,Hurley,VA,false
Grace Bible Academy,,Bradenville,PA,false
Green Lane School,,Belleville,PA,false
Grace Montessori School,,Allentown,PA,false
Kennedy Middle School,Eugene SD 4J,Eugene,OR,false
Cascadia Technical Academy ALE,Evergreen School District (Clark),Vancouver,WA,false
Pensar Academy,Pensar Academy (92972),Litchfield Park,AZ,true
Heritage Baptist Academy,,Jeannette,PA,false
Kenner Discovery Health Sciences Academy,Jefferson Parish,Kenner,LA,true
Kennedy Middle,Pharr-San Juan-Alamo Isd,Pharr,TX,true
Southeast Saline High,Southeast of Saline,Gypsum,KS,false
Hurley High,Buchanan County Public Schools,Hurley,VA,true
Peoria Accelerated High School,American Charter Schools Foundation D.B.a. Peoria  (79875),Peoria,AZ,true
Peoria ECampus,Peoria Unified School District (4237),Peoria,AZ,false
Southeast TECH,Middlesboro Independent,Middlesboro,KY,false
Southeast Valley Elementary,Southeast Valley Community School District,Farnhamville,IA,false
Southeast Valley High School,Southeast Valley Community School District,Gowrie,IA,false
Southeast Warren Intermediate,Southeast Warren Comm School District,Lacona,IA,false
Kennedy Middle,Charlotte-Mecklenburg Schools,Charlotte,NC,false
Kennedy Middle,Albuquerque,Albuquerque,NM,true
Hurley High,Hurley School District,Hurley,WI,true
Hurricane High School,Putnam County Schools,Hurricane,WV,false
Hurricane Middle,Putnam County Schools,Hurricane,WV,false
Hurricane Town Elementary,Putnam County Schools,Hurricane,WV,false
Hurt Park Elementary,Roanoke City Public Schools,Roanoke,VA,false
Hustisford High,Hustisford School District,Hustisford,WI,false
Hutchison Elementary,Fairfax County Public Schools,Herndon,VA,false
Hutchison Farm Elementary,Loudoun County Public Schools,South Riding,VA,false
Hutton Elementary,Spokane School District,Spokane,WA,false
Hybla Valley Elementary,Fairfax County Public Schools,Alexandria,VA,false
Hyde Park Elementary School,Lamoille North Modified Union School District #058A,Hyde Park,VT,false
Iaeger Elementary School,Mcdowell County Schools,Iaeger,WV,false
His Kids Christian School,,Butler,PA,false
The Hope Christian Academy,,Aliquippa,PA,false
Windward High School,Ferndale School District,Ferndale,WA,false
Idlewild Elementary School,Clover Park School District,Lakewood,WA,false
Parent Community Connection,Ferndale School District,Ferndale,WA,false
Kenneth D. King Middle School,Mercer County,Harrodsburg,KY,true
Kenneth Henderson Middle,Garden City,Garden City,KS,true
Kennett High School,Kennett Consolidated SD,Kennett Square,PA,false
Kenneth Burdett School,Utah Schools for the Deaf and the Blind,Ogden,UT,false
Garfield at Palouse High School,Garfield School District,Palouse,WA,true
Southern Coffey County Elementary,LeRoy Gridley,Gridley,KS,false
Southern Coffey County High School,LeRoy Gridley,Le Roy,KS,false
Southern Coffey County Middle School,LeRoy Gridley,Gridley,KS,true
Southern Elementary School,Scott County,Georgetown,KY,false
Southern Elementary School,Pulaski County,Somerset,KY,false
Southern Elementary School,Pendleton County,Falmouth,KY,false
Southern Elementary School,Ohio County,Beaver Dam,KY,false
Kenneth C. Hanrahan Elem.,Jennings,Jennings,MO,false
Kennett Career  Tech. Ctr.,Kennett 39,Kennett,MO,false
Kenneth R. Olson Middle School,Tabernacle Township School District,Tabernacle,NJ,true
Ice Mountain Elementary School,Hampshire County Schools,Slanesville,WV,false
Icicle River Middle School,Cascade School District,Leavenworth,WA,true
Ida Nason Aronica Elementary,Ellensburg School District,Ellensburg,WA,false
I Forward,Grantsburg School District,Grantsburg,WI,false
Ignite Family Academy,North Thurston Public Schools,Lacey,WA,false
Ilalko Elementary School,Auburn School District,Auburn,WA,false
Illahee Elementary School,Evergreen School District (Clark),Camas,WA,false
Image Elementary School,Evergreen School District (Clark),Vancouver,WA,false
Impact | Black River Elementary,Impact | Black River Elementary,Renton,WA,false
Impact | Salish Sea Elementary,Impact | Salish Sea Elementary,Tukwila,WA,false
Impact Public Schools,Impact | Puget Sound Elementary,Tukwila,WA,false
Hubler Ridge School,,Howard,PA,false
Kisk Creek School,,Belleville,PA,false
Peoria Flex Academy,Peoria Unified School District (4237),Peoria,AZ,true
Kenosha ESchool K-12,Kenosha School District,Kenosha,WI,false
Lime Quarry School,,Gap,PA,false
Kennett Middle School,Kennett Consolidated SD,Landenberg,PA,true
Kensington Creative & Performing Arts HS,Philadelphia City SD,Philadelphia,PA,true
Kensington Health Sciences,Philadelphia City SD,Philadelphia,PA,true
Peoria High School,Peoria Unified School District (4237),Peoria,AZ,true
Pepper Tree Elementary,Upland Unified,Upland,CA,false
Kennett Middle,Kennett 39,Kennett,MO,true
Kenney Middle School,Hannibal Central School District,Hannibal,NY,true
Kensal High School,Kensal 19,Kensal,ND,false
Kensington HS,Philadelphia City SD,Philadelphia,PA,true
Impact Public Schools,Impact | Commencement Bay Elementary,Tacoma,WA,false
IMPACT Reengagement Program,Lynden School District,Lynden,WA,false
Inchelium Elementary School,Inchelium School District,Inchelium,WA,false
Inchelium High School,Inchelium School District,Inchelium,WA,true
Inchelium Middle School,Inchelium School District,Inchelium,WA,true
Independence Elementary,Grayson County Public Schools,Independence,VA,false
Independence Elementary,Independence School District,Independence,WI,false
Independence High School,Raleigh County Schools,Sophia,WV,false
Independence Nontraditional - High School,Prince William County Public Schools,Manassas,VA,false
Independence Nontraditional Center,Prince William County Public Schools,Manassas,VA,false
Independence Nontraditional School - Middle,Independence Nontraditional School - Middle,Manassas,VA,false
Independent Scholar,Riverside School District,Chattaroy,WA,true
Indian River High,Chesapeake City Public Schools,Chesapeake,VA,false
Talk School,,Newtown Square,PA,false
Mahantango Mountain School,,Lykens,PA,false
Mt Pleasant View Amish School,,Quarryville,PA,false
Mountain View School,,Belleville,PA,false
New Life Alternatives Christian Academy,,Philadelphia,PA,false
Kenston High School,Kenston Local,Chagrin Falls,OH,false
Kenston Virtual School,Kenston Local,Chagrin Falls,OH,false
Kenston Middle School,Kenston Local,Chagrin Falls,OH,false
Indian River Middle,Chesapeake City Public Schools,Chesapeake,VA,false
Indian Trail Elementary,Spokane School District,Spokane,WA,false
Indian Trail High School and Academy,Kenosha School District,Kenosha,WI,true
Southern Elementary School,Fayette County,Lexington,KY,false
Indian Valley Elementary,Floyd County Public Schools,Radford,VA,false
Individualized Graduation & Degree Program,Kent School District,Kent,WA,false
Southern Hills Elementary School,Caddo Parish,Shreveport,LA,false
Industrial Design Engineering and Arts,Tacoma School District,Tacoma,WA,false
Kent Innovation High School,Kent ISD,Grand Rapids,MI,false
Southern Oaks Elementary School,Daviess County,Utica,KY,false
Southport Central School,Southport Public Schools,Southport,ME,false
Southside Elementary,Shelby County,Shelbyville,KY,false
Inglemoor HS,Northshore School District,Kenmore,WA,false
Ingleside Elementary,Norfolk City Public Schools,Norfolk,VA,false
Inglewood Middle School,Lake Washington School District,Sammamish,WA,false
Ingraham High School,Seattle School District No. 1,Seattle,WA,false
Innovation Elementary,Arlington County Public Schools,Arlington,VA,false
Innovation Elementary,Prince William County Public Schools,Manassas,VA,false
Innovation Lab High School,Northshore School District,Bothell,WA,false
Insight School of WA Open Doors Program,Quillayute Valley School District,Tacoma,WA,false
Insight School of Washington,Quillayute Valley School District,Forks,WA,true
Insight School of Wisconsin High,McFarland School District,Mc Farland,WI,true
Integrated Arts Academy at H. O. Wheeler,Burlington School District,Burlington,VT,false
Integration Station,Arlington County Public Schools,Arlington,VA,false
Interagency Alternative Secondary Center,Fairfax County Public Schools,Fairfax,VA,false
Interagency Open Doors,Seattle School District No. 1,Seattle,WA,true
Noahs Ark Kindergarten,,New Paris,PA,false
Noreen Cook  Center  for Ece of Har Zion Temple,,Penn Valley,PA,false
Oak Lane Mennonite School,,Manheim,PA,false
Oakgrove Amish Parochial School,,Meyersdale,PA,false
Kenton High School,Kenton City,Kenton,OH,true
Kenton Middle School,Kenton City,Kenton,OH,true
Kenton Ridge Middle/High School,Northeastern Local,Springfield,OH,false
Interagency Programs,Seattle School District No. 1,Seattle,WA,true
Kent Mountain View Academy,Kent School District,Des Moines,WA,false
Intergenerational High School,Intergenerational High School,Bellingham,WA,false
Interlake Senior High School,Bellevue School District,Bellevue,WA,false
Kent Phoenix Academy,Kent School District,Kent,WA,true
Kent ISD Deaf and Hard of Hearing,Kent ISD,Grand Rapids,MI,false
Kent Island High School,Queen Anne's County Public Schools,Stevensville,MD,false
International Community School,Lake Washington School District,Kirkland,WA,false
International School,Bellevue School District,Bellevue,WA,false
Internet Academy,Federal Way School District,Federal Way,WA,false
Inwood Primary School,Berkeley County Schools,Inwood,WV,false
Iola-Scandinavia Elementary,Iola-Scandinavia School District,Iola,WI,false
Iola-Scandinavia High,Iola-Scandinavia School District,Iola,WI,false
Iowa-Grant High,Iowa-Grant School District,Livingston,WI,false
Irasburg Village School,Lake Region Union Elementary Middle School District,Irasburg,VT,false
Irene Reither Elementary School,Meridian School District,Everson,WA,false
Iron River Elementary,Maple School District,Iron River,WI,false
Ore Bank School,,Mill Hall,PA,false
Opportunities School,,Reading,PA,false
Pressley Ridge Day School - Pittsburgh,,Pittsburgh,PA,false
Sandy Ridge School,,Mill Hall,PA,false
Shade Mountain School,,Mc Alisterville,PA,false
St Nicholas Greek Orthodox Academy,,Bethlehem,PA,false
Stony Point School,,Blain,PA,false
Kenwood High,Montgomery County,Clarksville,TN,true
Kenwood Middle,Montgomery County,Clarksville,TN,true
Issaquah Preschool Academy,Issaquah School District,Issaquah,WA,false
Issaquah Special Services,Issaquah School District,Issaquah,WA,false
Issaquah Valley Elementary,Issaquah School District,Issaquah,WA,false
Sun Valley School,,Newmanstown,PA,false
Kentucky TECH - Harlan Regional Tech Ctr,Harlan County,Harlan,KY,false
Isthmus Montessori Academy Public,Isthmus Montessori Academy Inc,Madison,WI,false
Ithaca Elementary,Ithaca School District,Richland Center,WI,false
Ithaca High,Ithaca School District,Richland Center,WI,false
Ithaca Middle,Ithaca School District,Richland Center,WI,false
St Mark's Christian School,,Clifton Heights,PA,false
Kentucky TECH - Hazard Regional Tech Ctr,Hazard Independent,Hazard,KY,false
Southside Elementary School,Hopkins County,Nortonville,KY,false
Southside Elementary School,East Carroll Parish,Lake Providence,LA,false
Southside Elementary School,Woodford County,Versailles,KY,false
Southside Elementary School,Livingston Parish,Denham Springs,LA,false
Southside Elementary School,Harrison County,Cynthiana,KY,false
Southside High School,Lafayette Parish,Youngsville,LA,false
Southside Junior High School,Livingston Parish,Denham Springs,LA,true
Southwest Calloway Elementary School,Calloway County,Murray,KY,false
Southwest Elem,Pratt,Pratt,KS,false
Southwest Valley  Middle School,Villisca Comm School District,Villisca,IA,true
Southwest Valley High School,Corning Comm School District,Corning,IA,false
Spaght Multimedia Magnet,Wichita,Wichita,KS,false
Spalding Park Elementary,Sioux City Comm School District,Sioux City,IA,false
Spanish Lake Primary School,Ascension Parish,Geismar,LA,false
Spearville Elem,Spearville,Spearville,KS,false
Small Wonders at Temple Judea,,Furlong,PA,false
Trout Run School,,Punxsutawney,PA,false
West Beaver School,,Mc Clure,PA,false
White Springs School,,Mifflinburg,PA,false
Peralta Elementary,Jurupa Unified,Jurupa Valley,CA,false
Peralta Elementary,Oakland Unified,Oakland,CA,false
Kerens School,Kerens Isd,Kerens,TX,true
Peralta School,Cartwright Elementary District (4282),Phoenix,AZ,false
Peralta Trail Elementary School,Apache Junction Unified District (4443),Apache Junction,AZ,false
Percy L Julian School,Roosevelt Elementary District (4279),Phoenix,AZ,true
Perdew Elementary,Etiwanda Elementary,Etiwanda,CA,false
Performing Arts Community at Diego Rivera Learning Complex,Los Angeles Unified,Los Angeles,CA,true
Perrin Elementary School,Benton School District,Benton,AR,false
Lakewood NWESD 189 Open Door Program,Lakewood School District,Marysville,WA,false
Perris Elementary,Perris Elementary,Perris,CA,false
Perris High,Perris Union High,Perris,CA,true
Perris Lake High (Continuation),Perris Union High,Perris,CA,true
Perry Elementary,San Diego Unified,San Diego,CA,false
Perry High School,Chandler Unified District #80 (4242),Gilbert,AZ,false
Perryville Elementary School,Perryville School District,Perryville,AR,false
Perryville High School,Perryville School District,Perryville,AR,true
Perryville School,Lake and Peninsula Borough School District,Perryville,AK,true
Pershing Continuation High,Central Unified,Fresno,CA,true
Pershing Elementary,San Juan Unified,Orangevale,CA,false
Pershing Middle,San Diego Unified,San Diego,CA,false
Petaluma Accelerated Charter,Petaluma Joint Union High,Petaluma,CA,false
Petaluma High,Petaluma Joint Union High,Petaluma,CA,false
Kermit H S,Kermit Isd,Kermit,TX,true
Ivy Elementary,Albemarle County Public Schools,Charlottesville,VA,false
Ixonia Elementary,Oconomowoc Area School District,Ixonia,WI,false
J C McKenna Middle,Evansville Community School District,Evansville,WI,false
J M Weatherwax High School,Aberdeen School District,Aberdeen,WA,true
J. Blaine Blayton Elementary,Williamsburg-James City County Public Schools,Williamsburg,VA,false
J. F. Kennedy Elementary School,Winooski Incorporated School District,Winooski,VT,false
J. J. Flynn School,Burlington School District,Burlington,VT,false
Spearville Jr/Sr High,Spearville,Spearville,KS,false
CVA-Lopez Island,Lopez School District,Lopez Island,WA,false
Peter F Alba Middle School,Mobile County,Bayou La Batre,AL,true
Peter J Kirksey Career Center,Greene County,Eutaw,AL,false
Student Success Open Doors Academy,Lyle School District,Lyle,WA,false
Ketchum Hs,Ketchum,Ketchum,OK,false
Peter J. Shields Elementary,Folsom-Cordova Unified,Rancho Cordova,CA,false
Peter Pendleton Elementary,Coachella Valley Unified,Coachella,CA,false
Peters Canyon Elementary,Tustin Unified,Tustin,CA,false
Spencer County Early Learning Center,Spencer County,Taylorsville,KY,false
Kernersville Middle,Winston Salem / Forsyth County Schools,Kernersville,NC,true
Kernodle Middle,Guilford County Schools,Greensboro,NC,false
Ketchum Ms,Ketchum,Ketchum,OK,true
Kettering City Schools MCESC Remote Learning Center,Kettering City School District,Dayton,OH,false
Kettering Fairmont High School,Kettering City School District,Kettering,OH,false
Kettering Middle School,Kettering City School District,Kettering,OH,true
Kerrville Disciplinary Alternative School,Kerrville Isd,Kerrville,TX,false
J. Michael Lunsford Middle,Loudoun County Public Schools,Chantilly,VA,false
J.a. Chalkley Elementary,Chesterfield County Public Schools,Chesterfield,VA,false
J.B. Fisher Elementary,Richmond City Public Schools,Richmond,VA,false
J.B. Watkins Elementary,Chesterfield County Public Schools,Midlothian,VA,false
J.G. Hening Elementary,Chesterfield County Public Schools,North Chesterfield,VA,false
J.I. Burton High,Norton City Public Schools,Norton,VA,true
Jackson Correctional Institution,Wisconsin Department of Corrections,Black River Falls,WI,false
Jackson Davis Elementary,Henrico County Public Schools,Richmond,VA,false
Jackson Elementary,West Bend School District,Jackson,WI,false
Jackson Elementary,Sheboygan Area School District,Sheboygan,WI,false
Jackson Elementary,Milwaukee School District,Milwaukee,WI,false
Jackson Elementary,Manitowoc School District,Manitowoc,WI,false
Willow Drive School,,Punxsutawney,PA,false
Action Based Enterprises School,,Johnston,RI,false
Mary Walker Alternative High Schl,Mary Walker School District,SPRINGDALE,WA,false
Springdale Academy,Mary Walker School District,SPRINGDALE,WA,false
Quest Montessori School,,Narragansett,RI,false
Marysville Mountain View High School,Marysville School District,Marysville,WA,false
Hawthorne Christian Academy,,Chester,SC,false
Heritage Academy,,Hilton Head Island,SC,false
Lakeview Christian School,,Pickens,SC,false
Lighthouse Christian Academy,,Enoree,SC,false
Spencer County Elementary School,Spencer County,Taylorsville,KY,false
North Walterboro Christian Academy,,Walterboro,SC,false
Oakbrook Preparatory School,,Spartanburg,SC,false
Peter Johansen High,Modesto City High,Modesto,CA,true
Mead Alternative High School,Mead School District,SPOKANE,WA,false
Pima Elementary School,Scottsdale Unified District (4240),Scottsdale,AZ,false
Riverpoint Academy,Mead School District,Spokane,WA,false
Spencer Middle School,Spencer Comm School District,Spencer,IA,true
Owens Christian Academy,,North Charleston,SC,false
Soaring Eagles Christian Academy,,Pickens,SC,false
Victory Christian Academy/Tshuwah Hebrew Academy,,Jefferson,SC,false
Agathos Classical School,,Columbia,TN,false
Calvary Christian Academy,,La Follette,TN,false
Cedar Springs Weekday School,,Knoxville,TN,false
Concord Christian School,,Knoxville,TN,false
Crockett Christian School,,Maury City,TN,false
Faith Missionary Academy,,Gruetli Laager,TN,false
Macon Road Baptist School,,Arlington,TN,false
Pope John Paul Ii Preparatory School,,Hendersonville,TN,false
Portland Montessori Academy,,Portland,TN,false
Rhea County Academy,,Dayton,TN,false
St Clement Coptic Orthodox Christian Academy,,Nashville,TN,false
St George's Independent School,,Collierville,TN,false
Martin Luther Grammar School,,Sheridan,WY,false
The Covenant School,,Nashville,TN,false
Capitol School of Austin,,Austin,TX,false
Community Montessori School,,Georgetown,TX,false
Key Collegiate Charter School,Key Collegiate Charter School,Brooklyn,NY,false
Esprit International School,,The Woodlands,TX,false
Ferris Christian Academy,,Ferris,TX,false
Spirit Lake Elementary School,Spirit Lake Comm School District,Spirit Lake,IA,false
Key Middle,Houston Isd,Houston,TX,true
Petersburg High School,Petersburg Borough School District,Petersburg,AK,true
Keys Acad,Socorro Isd,El Paso,TX,true
Spirit Lake Middle School,Spirit Lake Comm School District,Spirit Lake,IA,false
Geneva School of Boerne,,Boerne,TX,false
Petersen Alternative Center for Education at John B Allard,Stanislaus County Office of Education,Ceres,CA,true
Peterson Elementary,Kodiak Island Borough School District,Kodiak,AK,false
Phelan Elementary,Snowline Joint Unified,Phelan,CA,false
Spottsville Elementary School,Henderson County,Spottsville,KY,false
Charles Campagne School,Bethpage Union Free School District,Bethpage,NY,false
Charles E Boger Elementary,Cabarrus County Schools,Kannapolis,NC,false
Charles E Riley Elementary School,Oswego City School District,Oswego,NY,false
J.L. Francis Elementary,Richmond City Public Schools,Richmond,VA,false
J.W. Alvey Elementary,Prince William County Public Schools,Haymarket,VA,false
Jack Young Middle,Baraboo School District,Baraboo,WI,true
Jackson Middle School,Wood County Schools,Vienna,WV,false
Jackson P. Burley Middle,Albemarle County Public Schools,Charlottesville,VA,false
James River High,Botetourt County Public Schools,Buchanan,VA,false
Harvest Christian School,,Bessemer,AL,false
Ahwatukee Foothills Montessori,,Phoenix,AZ,false
Centennial Academy,,Colorado City,AZ,false
Holy Redeemer H.S.,,Wilkes Barre,PA,false
Independent Holiness Academy,,Harrisonville,PA,false
Kinder Care Learning Center,,Seven Fields,PA,false
Locust Ridge School,,Loganton,PA,false
Maple Knob,,Smicksburg,PA,false
Mountain View School,,Newburg,PA,false
Spring Creek - 6th Grade,Southeast Polk Comm School District,Pleasant Hill,IA,false
Keys Hs,Keys,Park Hill,OK,true
Keystone Central Career and Technology Center,Keystone Central Career and Technology Center,Mill Hall,PA,false
Casner Christian Academy,,Austin,TX,false
American Academy,Mount Adams School District,White Swan,WA,false
I a N T Quranic Academy,,Richardson,TX,false
Spring Creek Elementary School,Tangipahoa Parish,Kentwood,LA,false
Phenix City Elementary School,Phenix City,Phenix City,AL,false
Spring Grove Primary Center,Galena,Galena,KS,false
Spring Hill Elementary School,Spring Hill,Spring Hill,KS,false
Keystone Education Center CS,Keystone Education Center CS,Greenville,PA,true
Keystone High School,Keystone Local,Lagrange,OH,false
Keystone JSHS,Keystone SD,Knox,PA,true
Keys H S,Hurst-Euless-Bedford Isd,Euless,TX,true
Jackson Elementary,Green Bay Area Public School District,Green Bay,WI,false
Jackson Elementary,Fremont County School District #25,Riverton,WY,false
Jackson Elementary,Teton County School District #1,Jackson,WY,false
Jackson Elementary,Janesville School District,Janesville,WI,false
Jackson Elementary,Elkhorn Area School District,Elkhorn,WI,false
Jackson Elementary School,Everett School District,Everett,WA,false
Jackson Hole High School,Teton County School District #1,Jackson,WY,false
Jackson Hole Middle School,Teton County School District #1,Jackson,WY,false
Jackson Memorial Elementary,Wythe County Public Schools,Austinville,VA,false
Jackson Middle,Fairfax County Public Schools,Falls Church,VA,false
Jackson River Governor's School,Jackson River Governor's School,Clifton Forge,VA,false
Jackson River Tech Ctr,Alleghany Highlands Public Schools,Covington,VA,false
Lakewood Montessori School,,Dallas,TX,false
Life Center Christian Academy,,El Paso,TX,false
Lucas Christian Academy,,Lucas,TX,false
Marshall Christian Academy,,Marshall,TX,false
Phenix City Intermediate School,Phenix City,Phenix City,AL,false
Keystone Middle School,Keystone Local,Lagrange,OH,false
Naselle Homelink,Naselle-Grays River Valley School District,Naselle,WA,false
Phil Campbell Elementary School,Franklin County,Phil Campbell,AL,false
Keystone Oaks HS,Keystone Oaks SD,Pittsburgh,PA,false
Miss Endy's Christian Academy,,Fort Worth,TX,false
Spring Hill High School,Spring Hill,Spring Hill,KS,false
Phil Campbell High School,Franklin County,Phil Campbell,AL,true
Phil D. Swing Elementary,Brawley Elementary,Brawley,CA,false
Spring Hill Middle School,Spring Hill,Spring Hill,KS,false
Khalil Gibran International Academy,New York City Geographic District #15,Brooklyn,NY,true
Keystone Oaks MS,Keystone Oaks SD,Pittsburgh,PA,false
Kickemuit Middle School,Bristol Warren,Warren,RI,false
Ki Charter - Desoto,Ki Charter,Desoto,TX,false
Ki Charter Academy,Ki Charter,San Marcos,TX,true
Ki Charter Academy Liberty Hill,Ki Charter,Liberty Hill,TX,false
Jackson-via Elementary,Charlottesville City Public Schools,Charlottesville,VA,false
Jacob L. Adams Elementary,Henrico County Public Schools,Richmond,VA,false
Jacobs Road Elementary,Chesterfield County Public Schools,Chesterfield,VA,false
Jacox Elementary,Norfolk City Public Schools,Norfolk,VA,false
Jamaica Village School,West River Valley Union Education District #72A,Jamaica,VT,false
James a. Taylor High School,North Mason School District,Belfair,WA,true
James Baldwin Elementary School,Seattle School District No. 1,Seattle,WA,false
James Blair Middle,Williamsburg-James City County Public Schools,Williamsburg,VA,false
James E Dottke Project-Based Learning High School,West Allis-West Milwaukee School District,West Allis,WI,true
James G. Brumfield Elementary,Fauquier County Public Schools,Warrenton,VA,false
James H. Cary Intermediate,Essex County Public Schools,Tappahannock,VA,false
Odyssey School,,Austin,TX,false
Open Door Christian School,,Graham,TX,false
Kids Community College Southeast Middle Charter School,Hillsborough,Riverview,FL,false
Spring Meadows,Bullitt County,Mt Washington,KY,false
Our Lady of the Hills Reg Catholic High School,,Kerrville,TX,false
Poetry Community Christian School,,Terrell,TX,false
Kiefer Hs,Kiefer,Kiefer,OK,false
Spring Valley Elementary,Geary County Schools,Junction City,KS,false
Springfield Elementary School,Livingston Parish,Springfield,LA,false
Philadelphia Elementary,Pomona Unified,Pomona,CA,false
Philip J. Reilly Elementary,Capistrano Unified,Mission Viejo,CA,false
Philip Magruder Middle,Torrance Unified,Torrance,CA,false
Philistine Rondo School of Discovery,Corona-Norco Unified,Eastvale,CA,false
St John Xxiii College Prreparatory,,Katy,TX,false
South Sound High School,North Thurston Public Schools,Lacey,WA,true
Phillip J Patino School of Entrepreneurship,Fresno Unified,Fresno,CA,true
Phillip M. Stokoe Elementary,Alvord Unified,Riverside,CA,false
Phillips Community Career and Technical Center,Phillips Community College Career & Technical Center,Stuttgart,AR,false
Phillips Elementary,Napa Valley Unified,Napa,CA,false
Phillips Elementary School,Marion County,Bear Creek,AL,false
Springville Elementary School,Springville Comm School District,Springville,IA,false
Spruce Mountain Elementary School,Rsu 73,Jay,ME,false
Spruce Mountain High School,Rsu 73,Jay,ME,true
Kingfisher Hs,Kingfisher,Kingfisher,OK,true
James K. Polk Elementary,Alexandria City Public Schools,Alexandria,VA,false
James Madison Academic Campus,Milwaukee School District,Milwaukee,WI,true
James Madison Elementary,Sheboygan Area School District,Sheboygan,WI,false
James Madison Middle,Roanoke City Public Schools,Roanoke,VA,false
James McGee Elementary,Pasco School District,Pasco,WA,false
James Monroe Elementary,Norfolk City Public Schools,Norfolk,VA,false
Sanctuary Academy of the Regional Bible Institute,,Mcallen,TX,false
San Angelo Christian Academy,,San Angelo,TX,false
Shady Acres Christian School,,Tomball,TX,false
Kilbourne High School,West Carroll Parish,Kilbourne,LA,true
Phillips High School,Marion County,Bear Creek,AL,true
Kilbourne Middle School,Worthington City,Worthington,OH,false
Kilgore H S,Kilgore Isd,Kilgore,TX,true
Killeen Isd Career Center,Killeen Isd,Killeen,TX,false
Phillips Preparatory Middle School,Mobile County,Mobile,AL,false
Ocean Beach Alternative School,Ocean Beach School District,LONG BEACH,WA,true
Kila 7-8,Kila Elem,Kila,MT,true
Killdeer High School,Killdeer 16,Killdeer,ND,false
Kilgore Middle,Kilgore Isd,Kilgore,TX,true
Killeen H S,Killeen Isd,Killeen,TX,true
Killeen Isd Early College H S,Killeen Isd,Fort Cavazos,TX,false
Killeen Jjaep,Killeen Isd,Harker Heights,TX,false
Killian Middle,Lewisville Isd,Lewisville,TX,false
James Monroe High,Fredericksburg City Public Schools,Fredericksburg,VA,false
