school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
Northwest Reg. Youth Ctr.,Division of Youth Service,Kansas City,20,17,Yes participating without using any Provision or the CEO,true
Northwest Valley Sch.,Northwest R-I,House Springs,686,313,Yes participating without using any Provision or the CEO,true
Northwestern Elem.,Northwestern R-I,Mendon,82,30,Yes participating without using any Provision or the CEO,false
Northwestern High,Northwestern R-I,Mendon,54,23,Yes participating without using any Provision or the CEO,false
Norwood Elem.,Norwood R-I,Norwood,126,71,Yes participating without using any Provision or the CEO,false
Norwood High,Norwood R-I,Norwood,179,90,Yes participating without using any Provision or the CEO,true
O'Neal Elem.,Poplar Bluff R-I,Poplar Bluff,344,344,Yes under Community Eligibility Option (CEO),false
Oak Brook Elem.,Parkway C-2,Ballwin,401,40,Yes participating without using any Provision or the CEO,false
Oak Grove Elem,St. Joseph,St. Joseph,502,165,Yes participating without using any Provision or the CEO,false
Oak Grove Elem.,Oak Grove R-VI,Oak Grove,445,176,Yes participating without using any Provision or the CEO,false
Oak Grove Elem.,Poplar Bluff R-I,Poplar Bluff,317,317,Yes under Community Eligibility Option (CEO),false
Oak Grove High,Oak Grove R-VI,Oak Grove,604,162,Yes participating without using any Provision or the CEO,false
Oak Grove Middle,Oak Grove R-VI,Oak Grove,301,95,Yes participating without using any Provision or the CEO,false
Oak Grove Primary,Oak Grove R-VI,Oak Grove,503,200,Yes participating without using any Provision or the CEO,false
Oak Hill Elem.,Oak Hill R-I,Salem,149,96,Yes participating without using any Provision or the CEO,true
Oak Hill Elem.,St. Louis City,St Louis,256,256,Yes under Community Eligibility Option (CEO),false
Oak Park High,North Kansas City 74,Kansas City,1755,714,Yes participating without using any Provision or the CEO,true
