school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
Denver School of the Arts,School District No. 1 in the county of Denver and State of C,Denver,1044,165,Yes participating without using any Provision or the CEO,false
Desert Sage Elementary School,Pueblo County School District 70,Pueblo West,368,221,Yes under Community Eligibility Option (CEO),false
Destinations Career Academy of Colorado,Julesburg School District No. Re1,Westminster,453,,No,false
Devinny Elementary School,Jefferson County School District No. R-1,Lakewood,505,69,Yes participating without using any Provision or the CEO,false
Dillon Valley Elementary School,Summit School District No. Re 1,Dillon,395,202,Yes participating without using any Provision or the CEO,false
Discovery Canyon Campus Elementary School,Academy School District No. 20 in the county of El Paso an,Colorado Springs,547,68,Yes participating without using any Provision or the CEO,false
Discovery Canyon Campus High School,Academy School District No. 20 in the county of El Paso an,Colorado Springs,1021,176,Yes participating without using any Provision or the CEO,false
Discovery Canyon Campus Middle School,Academy School District No. 20 in the county of El Paso an,Colorado Springs,821,149,Yes participating without using any Provision or the CEO,false
Discovery High School,School District No. 3 in the county of El Paso and State of,Colorado Springs,83,54,Yes under Community Eligibility Option (CEO),true
Discovery Magnet School,School District 27J,Thornton,692,162,Yes under Community Eligibility Option (CEO),false
District 6 Online Academy,GreeleySchool District No. 6 in the county of Weld and Sta,Greeley,257,194,Yes under Community Eligibility Option (CEO),false
Doherty High School,Colorado Springs School District No. 11 in the county of E,Colorado Springs,1715,867,Yes under Community Eligibility Option (CEO),false
Dolores Elementary School,Dolores School District No. Re-4A,Dolores,245,132,Yes under Community Eligibility Option (CEO),false
Dolores High School,Dolores School District No. Re-4A,Dolores,186,90,Yes under Community Eligibility Option (CEO),false
Dolores Middle School,Dolores School District No. Re-4A,Dolores,166,95,Yes under Community Eligibility Option (CEO),false
Dora Moore Ece-8 School,School District No. 1 in the county of Denver and State of C,Denver,349,228,Yes under Community Eligibility Option (CEO),true
Doral Academy of Colorado,Jefferson County School District No. R-1,Westminster,168,88,Yes under Community Eligibility Option (CEO),false
Dos Rios Elementary School,GreeleySchool District No. 6 in the county of Weld and Sta,Evans,499,367,Yes under Community Eligibility Option (CEO),false
Dos Rios Elementary School,Mesa County Valley School District No. 51,Grand Junction,293,233,Yes under Community Eligibility Option (CEO),false
Douglas County High School,Douglas County School District No. Re 1,Castle Rock,1659,394,Yes participating without using any Provision or the CEO,false
Douglass Elementary School,Boulder Valley School District No. Re2,Boulder,313,44,Yes participating without using any Provision or the CEO,false
Douglass Valley Elementary School,Academy School District No. 20 in the county of El Paso an,Usaf Academy,306,70,Yes under Community Eligibility Option (CEO),false
Doull Elementary School,School District No. 1 in the county of Denver and State of C,Denver,381,325,Yes under Community Eligibility Option (CEO),false
Dove Creek Elementary School,Dolores County School District RE-2J,Dove Creek,124,67,Yes under Community Eligibility Option (CEO),false
Dove Creek High School,Dolores County School District RE-2J,Dove Creek,138,83,Yes under Community Eligibility Option (CEO),false
