school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
Baldwin SHS,Baldwin-Whitehall SD,Pittsburgh,1657,,Yes participating without using any Provision or the CEO,false
Bancroft El Sch,Kennett Consolidated SD,Kennett Square,403,,Yes participating without using any Provision or the CEO,false
Bangor Area HS,Bangor Area SD,Bangor,883,,Yes participating without using any Provision or the CEO,false
Bangor Area MS,Bangor Area SD,Bangor,421,,Yes participating without using any Provision or the CEO,true
Barclay El Sch,Central Bucks SD,Warrington,654,,Yes participating without using any Provision or the CEO,false
Baresville El Sch,South Western SD,Hanover,586,,Yes participating without using any Provision or the CEO,false
Barkley El Sch,Phoenixville Area SD,Phoenixville,281,,Yes participating without using any Provision or the CEO,false
Baron El Sch,Manheim Central SD,Manheim,350,,Yes participating without using any Provision or the CEO,false
Barrett El Sch,Steel Valley SD,Homestead,225,,Yes under Community Eligibility Option (CEO),false
Barry Comm John Sch,Philadelphia City SD,Philadelphia,467,,Yes under Community Eligibility Option (CEO),true
Bart-Colerain El Sch,Solanco SD,Christiana,197,,Yes participating without using any Provision or the CEO,false
Barth El Sch,Pottstown SD,Pottstown,321,,Yes under Community Eligibility Option (CEO),false
Barton Clara Sch,Philadelphia City SD,Philadelphia,490,,Yes under Community Eligibility Option (CEO),false
Bartram John - Main,Philadelphia City SD,Philadelphia,583,,Yes under Community Eligibility Option (CEO),true
Bear Creek Community CS,Bear Creek Community CS,Bear Creek Township,604,,Yes participating without using any Provision or the CEO,true
Bear Creek School,Elizabethtown Area SD,Elizabethtown,750,,Yes participating without using any Provision or the CEO,false
Beaty-Warren MS,Warren County SD,Warren,662,,Yes under Community Eligibility Option (CEO),true
Beaumont El Sch,Tredyffrin-Easttown SD,Devon,459,,Yes participating without using any Provision or the CEO,false
Beaver Area MS,Beaver Area SD,Beaver,291,,Yes participating without using any Provision or the CEO,false
Beaver Area SHS,Beaver Area SD,Beaver,650,,Yes participating without using any Provision or the CEO,false
Beaver County Career & Technology Center,Beaver County Career & Technology Center,Monaca,8,,No,false
Beaver Creek El Sch,Downingtown Area SD,Downingtown,531,,Yes participating without using any Provision or the CEO,false
Beaver Falls Area SHS,Big Beaver Falls Area SD,Beaver Falls,486,,Yes under Community Eligibility Option (CEO),true
Beaver Falls MS,Big Beaver Falls Area SD,Beaver Falls,360,,Yes under Community Eligibility Option (CEO),true
Beaver-Main El Sch,Bloomsburg Area SD,Bloomsburg,95,,Yes participating without using any Provision or the CEO,false
Bedford County Technical Center,Bedford County Technical Center,Everett,2,,No,false
Bedford El Sch,Bedford Area SD,Bedford,764,,Yes participating without using any Provision or the CEO,false
Bedford MS,Bedford Area SD,Bedford,414,,Yes participating without using any Provision or the CEO,true
Bedford SHS,Bedford Area SD,Bedford,495,,Yes participating without using any Provision or the CEO,true
Bedminster El Sch,Pennridge SD,Perkasie,399,,Yes participating without using any Provision or the CEO,false
Bell Avenue School,William Penn SD,Yeadon,265,,Yes under Community Eligibility Option (CEO),false
Bellaire El Sch,Carlisle Area SD,Carlisle,407,,Yes participating without using any Provision or the CEO,false
Belle Valley El Sch,Millcreek Township SD,Erie,626,,Yes participating without using any Provision or the CEO,false
Belle Vernon Area HS,Belle Vernon Area SD,Belle Vernon,735,,Yes participating without using any Provision or the CEO,false
Belle Vernon Area MS,Belle Vernon Area SD,Belle Vernon,386,,Yes participating without using any Provision or the CEO,false
Bellefonte Area HS,Bellefonte Area SD,Bellefonte,850,,Yes participating without using any Provision or the CEO,false
Bellefonte Area MS,Bellefonte Area SD,Bellefonte,591,,Yes participating without using any Provision or the CEO,false
Bellefonte El Sch,Bellefonte Area SD,Bellefonte,318,,Yes participating without using any Provision or the CEO,false
Bellevue El Sch,Northgate SD,Pittsburgh,348,,Yes under Community Eligibility Option (CEO),false
Bellwood Antis MS,Bellwood-Antis SD,Bellwood,332,,Yes participating without using any Provision or the CEO,true
Bellwood-Antis HS,Bellwood-Antis SD,Bellwood,378,,Yes participating without using any Provision or the CEO,false
Belmont CS,Belmont CS,Philadelphia,959,,No,true
Belmont Hills El Sch,Lower Merion SD,Bala Cynwyd,358,,Yes participating without using any Provision or the CEO,false
Belmont Hills El Sch,Bensalem Township SD,Bensalem,580,,Yes under Community Eligibility Option (CEO),false
Ben Franklin El Sch,Indiana Area SD,Indiana,414,,Yes participating without using any Provision or the CEO,false
Ben Franklin Sch,Uniontown Area SD,Uniontown,502,,Yes under Community Eligibility Option (CEO),true
Benjamin Chambers El Sch,Chambersburg Area SD,Chambersburg,583,,Yes under Community Eligibility Option (CEO),false
Benjamin Franklin El Sch,Bethel Park SD,Bethel Park,338,,Yes participating without using any Provision or the CEO,false
Benjamin Franklin MS,Bristol Township SD,Levittown,754,,Yes under Community Eligibility Option (CEO),true
Benjamin Franklin Sch,Harrisburg City SD,Harrisburg,678,,Yes under Community Eligibility Option (CEO),false
Benjamin Rush El Sch,Bensalem Township SD,Bensalem,446,,Yes under Community Eligibility Option (CEO),false
Benner El Sch,Bellefonte Area SD,Bellefonte,252,,Yes participating without using any Provision or the CEO,false
Bensalem Twp HS,Bensalem Township SD,Bensalem,2151,,Yes under Community Eligibility Option (CEO),true
