school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Roberto Clemente International Dual Language School,Waterbury School District,Waterbury,275,204,Yes under Community Eligibility Option (CEO)
Roberto Clemente Leadership Academy for Global Awareness,New Haven School District,New Haven,434,368,Yes under Community Eligibility Option (CEO)
Rochambeau Middle School,Regional School District 15,Southbury,412,53,Yes participating without using any Provision or the CEO
Rock Hill School,Wallingford School District,Wallingford,278,99,Yes participating without using any Provision or the CEO
Rockville High School,Vernon School District,Vernon,995,523,Yes participating without using any Provision or the CEO
Rocky Hill High School,Rocky Hill School District,Rocky Hill,738,181,Yes participating without using any Provision or the CEO
Roger Ludlowe Middle School,Fairfield School District,Fairfield,764,64,Yes participating without using any Provision or the CEO
Roger Sherman School,Meriden School District,Meriden,457,386,Yes under Community Eligibility Option (CEO)
Rogers International School,Stamford School District,Stamford,780,414,Yes under Community Eligibility Option (CEO)
Rogers Park Middle School,Danbury School District,Danbury,888,518,Yes under Community Eligibility Option (CEO)
Roosevelt School,Bridgeport School District,Bridgeport,493,475,Yes under Community Eligibility Option (CEO)
Ross/Woodward School,New Haven School District,New Haven,562,440,Yes under Community Eligibility Option (CEO)
Rotella Interdistrict Magnet School,Waterbury School District,Waterbury,614,392,Yes under Community Eligibility Option (CEO)
Roton Middle School,Norwalk School District,Norwalk,463,252,Yes under Community Eligibility Option (CEO)
Rowayton School,Norwalk School District,Norwalk,402,124,Yes under Community Eligibility Option (CEO)
Roxbury School,Stamford School District,Stamford,509,302,Yes under Community Eligibility Option (CEO)
Royle Elementary School,Darien School District,Darien,342,15,No
Ruth Chaffee School,Newington School District,Newington,317,98,Yes participating without using any Provision or the CEO
Sage Park Middle School,Windsor School District,Windsor,719,360,Yes participating without using any Provision or the CEO
Salem Elementary School,Salem School District,Salem,389,93,Yes participating without using any Provision or the CEO
Salem School,Naugatuck School District,Naugatuck,231,154,Yes under Community Eligibility Option (CEO)
Salisbury Central School,Salisbury School District,Lakeville,288,66,Yes participating without using any Provision or the CEO
Samuel B. Webb Elementary School,Wethersfield School District,Wethersfield,342,85,Yes under Community Eligibility Option (CEO)
Samuel Huntington School,Norwich School District,Norwich,358,260,Yes under Community Eligibility Option (CEO)
Samuel Staples Elementary School,Easton School District,Easton,606,42,Yes participating without using any Provision or the CEO
Sanchez School,Hartford School District,Hartford,311,258,Yes under Community Eligibility Option (CEO)
Sand School,Hartford School District,Hartford,266,237,Yes under Community Eligibility Option (CEO)
Sandy Hook Elementary School,Newtown School District,Sandy Hook,349,63,Yes participating without using any Provision or the CEO
Sarah Noble Intermediate School,New Milford School District,New Milford,753,259,Yes under Community Eligibility Option (CEO)
Saugatuck Elementary School,Westport School District,Westport,395,6,No
Savin Rock Community School,West Haven School District,West Haven,459,325,Yes under Community Eligibility Option (CEO)
Saxe Middle School,New Canaan School District,New Canaan,1271,,No
Sayles School,Sprague School District,Baltic,254,142,Yes under Community Eligibility Option (CEO)
Schaghticoke Middle School,New Milford School District,New Milford,791,252,Yes under Community Eligibility Option (CEO)
