school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
Ingenuity Prep PCS,Ingenuity Prep PCS,Washington,797,,Yes under Community Eligibility Option (CEO),false
Inspired Teaching Demonstration PCS,Inspired Teaching Demonstration PCS,Washington,522,,Yes participating without using any Provision or the CEO,false
J.o. Wilson ES,District of Columbia Public Schools,Washington,477,,Yes under Community Eligibility Option (CEO),false
Jackson-Reed HS,District of Columbia Public Schools,Washington,1855,,Yes participating without using any Provision or the CEO,false
Janney ES,District of Columbia Public Schools,Washington,717,,Yes participating without using any Provision or the CEO,false
Jefferson MS Academy,District of Columbia Public Schools,Washington,409,,Yes under Community Eligibility Option (CEO),true
John Francis Education Campus,District of Columbia Public Schools,Washington,583,,Yes under Community Eligibility Option (CEO),false
John Lewis ES,District of Columbia Public Schools,Washington,509,,Yes under Community Eligibility Option (CEO),false
Johnson MS,District of Columbia Public Schools,Washington,307,,Yes under Community Eligibility Option (CEO),true
Kelly Miller MS,District of Columbia Public Schools,Washington,315,,Yes under Community Eligibility Option (CEO),true
Ketcham ES,District of Columbia Public Schools,Washington,244,,Yes under Community Eligibility Option (CEO),false
Key ES,District of Columbia Public Schools,Washington,337,,Yes participating without using any Provision or the CEO,false
Kimball ES,District of Columbia Public Schools,Washington,330,,Yes under Community Eligibility Option (CEO),false
King ES,District of Columbia Public Schools,Washington,193,,Yes under Community Eligibility Option (CEO),false
Kingsman Academy PCS,Kingsman Academy PCS,Washington,346,,No,false
Kipp Dc - Aim Academy PCS,Kipp Dc PCS,Washington,435,,Yes under Community Eligibility Option (CEO),true
Kipp Dc - Arts and Technology Academy PCS,Kipp Dc PCS,Washington,244,,Yes under Community Eligibility Option (CEO),false
Kipp Dc - College Preparatory PCS,Kipp Dc PCS,Washington,643,,Yes under Community Eligibility Option (CEO),false
Kipp Dc - Connect Academy PCS,Kipp Dc PCS,Washington,251,,Yes under Community Eligibility Option (CEO),false
Kipp Dc - Discover Academy PCS,Kipp Dc PCS,Washington,282,,Yes under Community Eligibility Option (CEO),false
Kipp Dc - Grow Academy PCS,Kipp Dc PCS,Washington,224,,Yes under Community Eligibility Option (CEO),false
