school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Avalon Elementary,Excalibur Charter Schools Inc. (79214),Apache Junction,313,,Yes participating without using any Provision or the CEO
Avondale Middle School,Avondale Elementary District (4272),Avondale,351,,Yes participating without using any Provision or the CEO
Az Compass Prep School,AZ Compass Schools Inc. (89869),Chandler,267,,Yes under Community Eligibility Option (CEO)
Baboquivari High School,Baboquivari Unified School District #40 (4412),Topawa,210,,Yes under Community Eligibility Option (CEO)
Baboquivari Middle School,Baboquivari Unified School District #40 (4412),Topawa,151,,Yes under Community Eligibility Option (CEO)
Bagdad Elementary School,Bagdad Unified District (4468),Bagdad,286,,Yes participating without using any Provision or the CEO
Bagdad Middle / Senior High School,Bagdad Unified District (4468),Bagdad,211,,Yes participating without using any Provision or the CEO
Baker Middle School,Kayenta Unified School District #27 (4396),Kayenta,447,,Yes under Community Eligibility Option (CEO)
Bales Elementary School,Buckeye Elementary District (4269),Buckeye,699,,Yes participating without using any Provision or the CEO
Ball Charter Schools (Val Vista),Ball Charter Schools (Val Vista) (90885),Gilbert,403,,Yes participating without using any Provision or the CEO
Balsz Online Academy (B.o.a.),Balsz Elementary District (4268),Phoenix,6,,No
Barbara B. Robey Elementary School,Litchfield Elementary District (4281),Litchfield Park,595,,Yes participating without using any Provision or the CEO
Barcelona Elementary School,Alhambra Elementary District (4280),Glendale,847,,Yes under Community Eligibility Option (CEO)
Barry Goldwater High School,Deer Valley Unified District (4246),Phoenix,1602,,Yes participating without using any Provision or the CEO
Basha Elementary,Chandler Unified District #80 (4242),Chandler,581,,Yes participating without using any Provision or the CEO
Basha High School,Chandler Unified District #80 (4242),Chandler,2826,,Yes participating without using any Provision or the CEO
Basis Ahwatukee,BASIS Charter Schools Inc. (91339),Phoenix,661,,No
Basis Chandler,BASIS Charter Schools Inc. (90842),Chandler,1185,,No
Basis Chandler Primary - North Campus,BASIS Charter Schools Inc. (92997),Chandler,619,,No
Basis Chandler Primary- South Campus,BASIS Charter Schools Inc. (92865),Chandler,488,,No
Basis Flagstaff,BASIS Charter Schools Inc. (90862),Flagstaff,666,,No
Basis Goodyear,BASIS Charter Schools Inc. (92734),Goodyear,318,,No
Basis Goodyear Primary,BASIS Charter Schools Inc. (92736),Goodyear,657,,No
Basis Mesa,BASIS Charter Schools Inc. (91949),Mesa,894,,No
Basis Oro Valley,BASIS Charter Schools Inc. (90508),Oro Valley,540,,No
Basis Oro Valley Primary,BASIS Charter Schools Inc. (92318),Oro Valley,599,,No
Basis Peoria,BASIS Charter Schools Inc. (90841),Peoria,1021,,No
Basis Peoria Primary,BASIS Charter Schools Inc. (273398),Peoria,696,,No
Basis Phoenix,BASIS Charter Schools Inc. (91280),Phoenix,781,,No
Basis Phoenix Central Primary,BASIS Charter Schools Inc. (92349),Phoenix,239,,No
Basis Phoenix North,BASIS Charter Schools Inc. (1002012),Phoenix,152,,No
Basis Phoenix Primary,BASIS Charter Schools Inc. (934316),Phoenix,792,,No
Basis Phoenix South,BASIS Charter Schools Inc. (549803),Phoenix,523,,Yes participating without using any Provision or the CEO
Basis Prescott,BASIS Charter Schools Inc. (92320),Prescott,610,,No
Basis Scottsdale,BASIS Charter Schools Inc. (81078),Scottsdale,1023,,No
Basis Scottsdale Primary - East Campus,BASIS Charter Schools Inc. (92863),Scottsdale,489,,No
Basis Scottsdale Primary - West Campus,BASIS Charter Schools Inc. (783027),Scottsdale,464,,No
Basis Tucson North,BASIS Charter Schools Inc. (91309),Tucson,753,,No
Basis Tucson Primary,BASIS Charter Schools Inc. (6361),Tucson,785,,No
Beaver Creek School,Beaver Creek Elementary District (4481),Rimrock,331,,Yes under Community Eligibility Option (CEO)
Beaver Dam Elementary,Littlefield Unified District (4374),Beaver Dam,188,,Yes participating without using any Provision or the CEO
Beaver Dam High School,Littlefield Unified District (4374),Beaver Dam,136,,Yes participating without using any Provision or the CEO
Belen Soto Elementary School,Litchfield Elementary District (4281),Goodyear,1123,,Yes participating without using any Provision or the CEO
Bella Vista Elementary School,Sierra Vista Unified District (4175),Sierra Vista,232,,Yes participating without using any Provision or the CEO
Benchmark School,Benchmark School Inc. (10972),Phoenix,328,,No
Benjamin Franklin Charter School - Crismon,Benjamin Franklin Charter School - Queen Creek (4355),Queen Creek,834,,No
Benjamin Franklin Charter School - Gilbert,Benjamin Franklin Charter School - Queen Creek (4355),Gilbert,598,,No
Benjamin Franklin Charter School - Power,Benjamin Franklin Charter School - Queen Creek (4355),Gilbert,565,,No
Benjamin Franklin High School,Benjamin Franklin Charter School - Queen Creek (4355),Queen Creek,1324,,No
Benson Digital Learning Center,Benson Unified School District (79226),Benson,41,,Yes participating without using any Provision or the CEO
Benson Digital Learning Center Online,Benson Unified School District (79226),Benson,51,,No
Benson High School,Benson Unified School District (79226),Benson,402,,Yes participating without using any Provision or the CEO
Benson Middle School,Benson Unified School District (79226),Benson,286,,Yes participating without using any Provision or the CEO
Benson Primary School,Benson Unified School District (79226),Benson,507,,Yes participating without using any Provision or the CEO
Berean Academy,Cochise Community Development Corporation (81027),Sierra Vista,352,,Yes under Community Eligibility Option (CEO)
Bernard Black Elementary School,Roosevelt Elementary District (4279),Phoenix,414,,Yes under Community Eligibility Option (CEO)
Betty Fairfax High School,Phoenix Union High School District (4286),Laveen,2014,,Yes under Community Eligibility Option (CEO)
Bicentennial South School,Glendale Elementary District (4271),Glendale,729,,Yes under Community Eligibility Option (CEO)
Billy Lane Lauffer Middle School,Sunnyside Unified District (4407),Tucson,435,,Yes under Community Eligibility Option (CEO)
Biltmore Preparatory Academy,Creighton Elementary District (4263),Phoenix,537,,Yes under Community Eligibility Option (CEO)
Bisbee High School,Bisbee Unified District (4169),Bisbee,306,,Yes participating without using any Provision or the CEO
Biyaagozhoo Center,Gila County Regional School District (87600),San Carlos,10,,No
Black Mountain Elementary School,Kingman Unified School District (79598),Golden Valley,474,,Yes under Community Eligibility Option (CEO)
Black Mountain Elementary School,Cave Creek Unified District (4244),Scottsdale,496,,Yes participating without using any Provision or the CEO
Blake Primary School,Parker Unified School District (4510),Parker,379,,Yes under Community Eligibility Option (CEO)
Blenman Elementary School,Tucson Unified District (4403),Tucson,317,,Yes under Community Eligibility Option (CEO)
Bloom Elementary,Tucson Unified District (4403),Tucson,336,,Yes under Community Eligibility Option (CEO)
Blue Elementary School,Blue Elementary District (4231),Blue,13,,No
Blue Horizons Elementary School,Liberty Elementary District (4266),Buckeye,976,,Yes participating without using any Provision or the CEO
Blue Ridge Elementary School,Blue Ridge Unified School District No. 32 (4397),Lakeside,801,,Yes participating without using any Provision or the CEO
Blue Ridge High School,Blue Ridge Unified School District No. 32 (4397),Lakeside,598,,Yes participating without using any Provision or the CEO
Blue Ridge Jr High School,Blue Ridge Unified School District No. 32 (4397),Lakeside,229,,Yes participating without using any Provision or the CEO
Bogle Junior High School,Chandler Unified District #80 (4242),Chandler,1007,,Yes participating without using any Provision or the CEO
Bonillas Elementary Basic Curriculum Magnet School,Tucson Unified District (4403),Tucson,402,,Yes under Community Eligibility Option (CEO)
Bonita Elementary School,Bonita Elementary District (4224),Willcox,94,,Yes under Community Eligibility Option (CEO)
Bonnie Brennan School,Winslow Unified District (4387),Winslow,253,,Yes under Community Eligibility Option (CEO)
Booth-Fickett Math/Science Magnet School,Tucson Unified District (4403),Tucson,299,,Yes under Community Eligibility Option (CEO)
Borman K-8 School,Tucson Unified District (4403),Tucson,459,,Yes under Community Eligibility Option (CEO)
Borton Primary Magnet School,Tucson Unified District (4403),Tucson,268,,Yes under Community Eligibility Option (CEO)
Bostrom Alternative Center,Phoenix Union High School District (4286),Phoenix,302,,Yes under Community Eligibility Option (CEO)
Boulder Creek Elementary,Gilbert Unified District (4239),Mesa,461,,Yes participating without using any Provision or the CEO
Boulder Creek Elementary School,Paradise Valley Unified District (4241),Phoenix,621,,Yes participating without using any Provision or the CEO
Boulder Creek High School,Deer Valley Unified District (4246),Anthem,2221,,Yes participating without using any Provision or the CEO
Bouse Elementary School,Bouse Elementary District (4513),Bouse,52,,Yes under Community Eligibility Option (CEO)
Bowie Elementary School,Bowie Unified District (4171),Bowie,53,,Yes participating without using any Provision or the CEO
Bowie High School,Bowie Unified District (4171),Bowie,20,,Yes participating without using any Provision or the CEO
Bradshaw Mountain High School,Humboldt Unified District (4469),Prescott Valley,1616,,Yes participating without using any Provision or the CEO
Bradshaw Mountain Middle School,Humboldt Unified District (4469),Dewey-Humboldt,417,,Yes participating without using any Provision or the CEO
Bravie T. Soto Elementary School,Somerton Elementary District (4500),Somerton,229,,Yes under Community Eligibility Option (CEO)
Bret R. Tarver Leadership Academy,Cartwright Elementary District (4282),Phoenix,617,,Yes under Community Eligibility Option (CEO)
Bret Tarver Education Complex,Isaac Elementary District (4259),Phoenix,179,,No
Bridges Elementary School,Higley Unified School District (4248),Gilbert,770,,Yes participating without using any Provision or the CEO
Bright Beginnings School #1,Bright Beginnings School Inc. (4362),Chandler,199,,No
Brinton Elementary,Mesa Unified District (4235),Mesa,495,,Yes under Community Eligibility Option (CEO)
Broadmor Elementary School,Tempe School District (4258),Tempe,575,,Yes under Community Eligibility Option (CEO)
Brunson-Lee Elementary School,Balsz Elementary District (4268),Phoenix,412,,Yes under Community Eligibility Option (CEO)
Buckeye Elementary School,Buckeye Elementary District (4269),Buckeye,1150,,Yes participating without using any Provision or the CEO
Buckeye Union High School,Buckeye Union High School District (4284),Buckeye,1841,,Yes participating without using any Provision or the CEO
Buena High School,Sierra Vista Unified District (4175),Sierra Vista,1715,,Yes participating without using any Provision or the CEO
Buhsd Institute of Online Learning,Buckeye Union High School District (4284),Buckeye,121,,No
Bullhead City Middle School,Bullhead City School District (4378),Bullhead City,424,,Yes under Community Eligibility Option (CEO)
Burk Elementary School,Gilbert Unified District (4239),Gilbert,440,,Yes participating without using any Provision or the CEO
Burke Basic School,American Basic Schools LLC (79215),Mesa,634,,Yes under Provision 2
Bush Elementary,Mesa Unified District (4235),Mesa,524,,Yes participating without using any Provision or the CEO
Butterfield Elementary School,Maricopa Unified School District (4441),Maricopa,920,,Yes participating without using any Provision or the CEO
Butterfield Elementary School,Marana Unified District (4404),Tucson,459,,Yes participating without using any Provision or the CEO
Byron A. Barry School,Cartwright Elementary District (4282),Phoenix,68,,No
C E Rose Elementary School,Tucson Unified District (4403),Tucson,766,,Yes under Community Eligibility Option (CEO)
C I Waggoner School,Kyrene Elementary District (4267),Tempe,417,,Yes participating without using any Provision or the CEO
C J Jorgensen School,Roosevelt Elementary District (4279),Phoenix,242,,Yes under Community Eligibility Option (CEO)
C O Greenfield School,Roosevelt Elementary District (4279),Phoenix,453,,Yes under Community Eligibility Option (CEO)
C W McGraw Elementary School,Yuma Elementary District (4499),Yuma,511,,Yes under Provision 2
Cactus Canyon Junior High,Apache Junction Unified District (4443),Apache Junction,527,,Yes participating without using any Provision or the CEO
