school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Fawn Mountain Elementary,Ketchikan Gateway Borough School District,Ketchikan,210,84,Yes participating without using any Provision or the CEO
Finger Lake Elementary,Matanuska-Susitna Borough School District,Wasilla,445,184,Yes participating without using any Provision or the CEO
Fire Lake Elementary,Anchorage School District,Eagle River,195,76,Yes participating without using any Provision or the CEO
Fireweed Academy,Kenai Peninsula Borough School District,Homer,104,44,Yes participating without using any Provision or the CEO
Focus Homeschool,Chugach School District,Anchorage,549,,No
Fort Yukon School,Yukon Flats School District,Fort Yukon,76,46,Yes under Community Eligibility Option (CEO)
Fred and Sara Machetanz Elementary School,Matanuska-Susitna Borough School District,Wasilla,468,136,Yes participating without using any Provision or the CEO
Fred Ipalook Elementary,North Slope Borough School District,Utqiagvik,494,149,Yes under Community Eligibility Option (CEO)
Fronteras Charter School,Matanuska-Susitna Borough School District,Wasilla,336,,No
Frontier Charter School,Anchorage School District,Anchorage,689,,No
Galena Interior Learning Academy (Gila),Galena City School District,Galena,185,162,Yes under Community Eligibility Option (CEO)
Gambell School,Bering Strait School District,Gambell,154,160,Yes under Community Eligibility Option (CEO)
George H. Gilson Middle School,Valdez City School District,Valdez,143,50,Yes participating without using any Provision or the CEO
George Morgan Sr. H.s.,Kuspuk School District,Kalskag,64,67,Yes under Community Eligibility Option (CEO)
Gerstle River School,Delta/Greely School District,Delta Junction,33,,No
Girdwood School,Anchorage School District,Girdwood,179,23,Yes participating without using any Provision or the CEO
Glacier View School,Matanuska-Susitna Borough School District,Sutton,24,7,Yes participating without using any Provision or the CEO
Gladys Jung Elementary,Lower Kuskokwim School District,Bethel,309,255,Yes under Community Eligibility Option (CEO)
Gladys Wood Elementary,Anchorage School District,Anchorage,267,203,Yes under Community Eligibility Option (CEO)
Glennallen Elementary,Copper River School District,Glennallen,126,90,Yes under Community Eligibility Option (CEO)
Glennallen Jr/Sr High School,Copper River School District,Glennallen,86,98,Yes under Community Eligibility Option (CEO)
Golden Heart Academy,Fairbanks North Star Borough School District,Fairbanks,13,,No
Goose Bay Elementary,Matanuska-Susitna Borough School District,Wasilla,305,132,Yes participating without using any Provision or the CEO
Government Hill Elementary,Anchorage School District,Anchorage,424,157,Yes participating without using any Provision or the CEO
Gruening Middle School,Anchorage School District,Eagle River,797,156,Yes participating without using any Provision or the CEO
Gustavus School,Chatham School District,Gustavus,51,,No
Haines Elementary,Haines Borough School District,Haines,153,85,Yes under Community Eligibility Option (CEO)
Haines High School,Haines Borough School District,Haines,78,45,Yes under Community Eligibility Option (CEO)
Haines Home School,Haines Borough School District,Haines,24,,No
Hanshew Middle School,Anchorage School District,Anchorage,822,322,Yes participating without using any Provision or the CEO
Harborview Elementary,Juneau Borough School District,Juneau,349,105,Yes participating without using any Provision or the CEO
Harold Kaveolook School,North Slope Borough School District,Kaktovik,63,29,Yes under Community Eligibility Option (CEO)
Hermon Hutchens Elementary,Valdez City School District,Valdez,287,77,Yes participating without using any Provision or the CEO
Highland Academy Charter,Anchorage School District,Anchorage,200,,No
Hogarth Kingeekuk Sr. Memorial School,Bering Strait School District,Savoonga,236,240,Yes under Community Eligibility Option (CEO)
Hollis School,Southeast Island School District,Hollis,12,11,Yes under Community Eligibility Option (CEO)
Homebridge,Juneau Borough School District,Juneau,224,,No
Homer Flex School,Kenai Peninsula Borough School District,Homer,36,22,Yes participating without using any Provision or the CEO
Homer High School,Kenai Peninsula Borough School District,Homer,357,124,Yes participating without using any Provision or the CEO
Homer Middle School,Kenai Peninsula Borough School District,Homer,205,80,Yes participating without using any Provision or the CEO
Homestead Elementary,Anchorage School District,Eagle River,255,35,Yes participating without using any Provision or the CEO
Hoonah City School,Hoonah City School District,Hoonah,110,71,Yes under Community Eligibility Option (CEO)
Hooper Bay Charter School,Lower Yukon School District,Hooper Bay,65,73,Yes under Community Eligibility Option (CEO)
Hooper Bay School,Lower Yukon School District,Hooper Bay,364,398,Yes under Community Eligibility Option (CEO)
Hope School,Kenai Peninsula Borough School District,Hope,21,,No
Houghtaling Elementary,Ketchikan Gateway Borough School District,Ketchikan,310,163,Yes participating without using any Provision or the CEO
Houston High School,Matanuska-Susitna Borough School District,Big Lake,337,206,Yes under Community Eligibility Option (CEO)
Houston Middle School,Matanuska-Susitna Borough School District,Houston,318,236,Yes under Community Eligibility Option (CEO)
Howard Valentine Coffman Cove School,Southeast Island School District,Coffman Cove,19,18,Yes under Community Eligibility Option (CEO)
Huffman Elementary,Anchorage School District,Anchorage,268,46,Yes participating without using any Provision or the CEO
Hunter Elementary,Fairbanks North Star Borough School District,Fairbanks,332,216,Yes participating without using any Provision or the CEO
