school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Memorial School,Sanborn Regional School District,Newton,239,16,Yes participating without using any Provision or the CEO
Merrimack High School,Merrimack School District,Merrimack,1057,116,Yes participating without using any Provision or the CEO
Merrimack Middle School,Merrimack School District,Merrimack,480,51,Yes participating without using any Provision or the CEO
Merrimack Valley High School,Merrimack Valley School District,Penacook,744,179,Yes participating without using any Provision or the CEO
Merrimack Valley Middle School,Merrimack Valley School District,Penacook,466,150,Yes participating without using any Provision or the CEO
Microsociety Academy Charter School Foundation,MicroSociety Academy Charter School Foundation,Nashua,303,42,No
Middle School at Parkside,Manchester School District,Manchester,775,437,Yes participating without using any Provision or the CEO
Middleton Elementary School,Middleton School District,Middleton,155,52,Yes participating without using any Provision or the CEO
Milan Village Elementary School,Milan School District,Milan,102,29,Yes participating without using any Provision or the CEO
Mildred C. Lakeway School,Littleton School District,Littleton,309,168,Yes participating without using any Provision or the CEO
Milford Early Education Experiences,Milford School District,Milford,54,6,No
Milford High School,Milford School District,Milford,655,94,Yes participating without using any Provision or the CEO
Milford Middle School,Milford School District,Milford,445,86,Yes participating without using any Provision or the CEO
Mill Brook School,Concord School District,Concord,321,116,Yes participating without using any Provision or the CEO
Mill Falls Charter School,Mill Falls Charter School,Manchester,168,30,No
Milton Elementary School,Milton School District,Milton,237,99,Yes participating without using any Provision or the CEO
Moharimet School,Oyster River Coop School District,Madbury,309,10,Yes participating without using any Provision or the CEO
Monadnock Regional High School,Monadnock Regional School District,Swanzey,448,110,Yes participating without using any Provision or the CEO
Monadnock Regional Middle School,Monadnock Regional School District,E. Swanzey,249,76,Yes participating without using any Provision or the CEO
Monroe Consolidated School,Monroe School District,Monroe,88,16,Yes participating without using any Provision or the CEO
Mont Vernon Village School,Mont Vernon School District,Mont Vernon,234,20,Yes participating without using any Provision or the CEO
Moose Hill School,Londonderry School District,Londonderry,343,19,Yes participating without using any Provision or the CEO
Moultonborough Academy,Moultonborough School District,Moultonborough,137,31,Yes participating without using any Provision or the CEO
