school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
Burns High Desert Academy,Harney County SD 3,Burns,7,,No,false
Burns High School,Harney County SD 3,Burns,215,77,Yes under Provision 2,false
Burnt River School,Burnt River SD 30J,Unity,55,39,Yes under Community Eligibility Option (CEO),false
Bush Elementary School,Salem-Keizer SD 24J,Salem,255,227,Yes under Community Eligibility Option (CEO),false
Butler Creek Elementary School,Centennial SD 28J,Gresham,509,496,Yes under Community Eligibility Option (CEO),false
Butte Creek Elementary School,Silver Falls SD 4J,Mt Angel,303,156,Yes under Community Eligibility Option (CEO),true
Butte Falls Charter School,Butte Falls SD 91,Butte Falls,119,97,Yes under Community Eligibility Option (CEO),true
Butternut Creek Elementary School,Hillsboro SD 1J,Aloha,332,223,Yes under Community Eligibility Option (CEO),false
Cal Young Middle School,Eugene SD 4J,Eugene,475,318,Yes under Community Eligibility Option (CEO),false
Calapooia Middle School,Greater Albany Public SD 8J,Albany,585,445,Yes under Community Eligibility Option (CEO),false
Caldera High School,Bend-LaPine Administrative SD 1,Bend,1354,654,Yes under Community Eligibility Option (CEO),false
Camas Ridge Community Elementary,Eugene SD 4J,Eugene,258,167,Yes under Community Eligibility Option (CEO),false
Camas Valley School,Camas Valley SD 21J,Camas Valley,207,188,Yes under Community Eligibility Option (CEO),true
Canby High School,Canby SD 86,Canby,1402,876,Yes under Community Eligibility Option (CEO),false
Candalaria Elementary School,Salem-Keizer SD 24J,Salem,271,241,Yes under Community Eligibility Option (CEO),false
Candy Lane Elementary School,Oregon City SD 62,Milwaukie,363,198,Yes under Community Eligibility Option (CEO),false
Canyonville School,South Umpqua SD 19,Canyonville,185,150,Yes under Community Eligibility Option (CEO),true
Capitol Hill Elementary School,Portland SD 1J,Portland,323,135,Yes under Community Eligibility Option (CEO),false
Carus School,Canby SD 86,Oregon City,325,208,Yes under Community Eligibility Option (CEO),false
Cascade Heights Public Charter School,North Clackamas SD 12,Milwaukie,228,133,Yes under Community Eligibility Option (CEO),false
Cascade Junior High School,Cascade SD 5,Turner,647,412,Yes under Community Eligibility Option (CEO),false
Cascade Locks School,Hood River County SD,Cascade Locks,65,46,Yes under Community Eligibility Option (CEO),false
Cascade Middle School,Bend-LaPine Administrative SD 1,Bend,687,329,Yes under Community Eligibility Option (CEO),false
Cascade Middle School,Bethel SD 52,Eugene,375,341,Yes under Community Eligibility Option (CEO),false
Cascade Opportunity Center,Cascade SD 5,Aumsville,83,53,Yes under Community Eligibility Option (CEO),true
Cascade Senior High School,Cascade SD 5,Turner,795,507,Yes under Community Eligibility Option (CEO),false
Cascade Virtual Academy,Mitchell SD 55,Prineville,1226,,No,false
Cascades School,Lebanon Community SD 9,Lebanon,262,277,Yes under Community Eligibility Option (CEO),false
Catalyst High School,Newberg SD 29J,Newberg,173,116,Yes under Community Eligibility Option (CEO),false
Cecile Trost Elementary School,Canby SD 86,Canby,457,289,Yes under Community Eligibility Option (CEO),false
Cedar Mill Elementary School,Beaverton SD 48J,Portland,350,177,Yes under Community Eligibility Option (CEO),false
Cedar Park Middle School,Beaverton SD 48J,Portland,644,325,Yes under Community Eligibility Option (CEO),false
Cedar Ridge Middle School,Oregon Trail SD 46,Sandy,471,285,Yes under Community Eligibility Option (CEO),true
Cedaroak Park Primary School,West Linn-Wilsonville SD 3J,West Linn,348,154,Yes under Community Eligibility Option (CEO),false
Centennial Elementary School,Scio SD 95,Scio,291,185,Yes under Community Eligibility Option (CEO),false
Centennial Elementary School,Springfield SD 19,Springfield,345,346,Yes under Community Eligibility Option (CEO),false
Centennial High School,Centennial SD 28J,Gresham,1731,1554,Yes under Community Eligibility Option (CEO),false
Centennial Middle School,Centennial SD 28J,Portland,876,895,Yes under Community Eligibility Option (CEO),false
Central Elementary School,Greater Albany Public SD 8J,Albany,125,98,Yes under Community Eligibility Option (CEO),false
Central Elementary School,La Grande SD 1,La Grande,403,265,Yes under Community Eligibility Option (CEO),false
Central High School,Central SD 13J,Independence,1008,950,Yes under Community Eligibility Option (CEO),false
Central Howell Elementary School,Silver Falls SD 4J,Silverton,160,82,Yes under Community Eligibility Option (CEO),false
Central Linn Elementary School,Central Linn SD 552,Halsey,241,187,Yes under Community Eligibility Option (CEO),false
Central Linn High School,Central Linn SD 552,Halsey,243,184,Yes under Community Eligibility Option (CEO),false
Central Middle School,Milton-Freewater Unified SD 7,Milton-Freewater,360,262,Yes under Community Eligibility Option (CEO),true
Central Point Elementary School,Central Point SD 6,Central Point,427,342,Yes under Community Eligibility Option (CEO),false
Century High School,Hillsboro SD 1J,Hillsboro,1563,1069,Yes under Community Eligibility Option (CEO),false
Cesar Chavez Elementary School,Eugene SD 4J,Eugene,356,227,Yes under Community Eligibility Option (CEO),false
Cesar Chavez K-8 School,Portland SD 1J,Portland,453,446,Yes under Community Eligibility Option (CEO),true
Cesar E Chavez Elementary,Salem-Keizer SD 24J,Salem,464,409,Yes under Community Eligibility Option (CEO),false
Chapman Elementary School,Portland SD 1J,Portland,353,146,Yes under Community Eligibility Option (CEO),false
Chapman Hill Elementary School,Salem-Keizer SD 24J,Salem,306,268,Yes under Community Eligibility Option (CEO),false
Charlemagne French Immersion Elementary School,Eugene SD 4J,Eugene,304,194,Yes under Community Eligibility Option (CEO),false
Charles F Tigard Elementary School,Tigard-Tualatin SD 23J,Tigard,460,264,Yes under Community Eligibility Option (CEO),false
Chehalem Elementary School,Beaverton SD 48J,Beaverton,396,220,Yes under Community Eligibility Option (CEO),false
Chehalem Valley Middle School,Newberg SD 29J,Newberg,422,210,Yes under Community Eligibility Option (CEO),false
Cheldelin Middle School,Corvallis SD 509J,Corvallis,488,281,Yes under Community Eligibility Option (CEO),false
Chenowith Elementary School,North Wasco County SD 21,The Dalles,418,418,Yes under Community Eligibility Option (CEO),false
Cherry Park Elementary School,David Douglas SD 40,Portland,442,476,Yes under Community Eligibility Option (CEO),false
Chief Joseph Elementary School,Portland SD 1J,Portland,278,116,Yes under Community Eligibility Option (CEO),false
Childs Way Charter School,South Lane SD 45J3,Dorena,121,,No,false
