school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Eddington School,Rsu 63/Msad 63,Eddington,116,40,Yes participating without using any Provision or the CEO
Edgecomb Eddy School,Edgecomb Public Schools,Edgecomb,113,53,Yes under Provision 2
Edmunds Consolidated School,Education in Unorganized Terr,Edmunds Township,53,26,Yes under Provision 2
Edna Drinkwater School,Northport Public Schools,Northport,98,50,Yes under Provision 2
Edna Libby Elementary School,Rsu 06/Msad 06,Standish,296,115,Yes under Provision 2
Edward Little High School,Auburn Public Schools,Auburn,1045,452,Yes under Provision 2
Eight Corners Elementary School,Scarborough Public Schools,Scarborough,241,34,Yes under Provision 2
Eliot Elementary School,Rsu 35/Msad 35,Eliot,282,50,Yes participating without using any Provision or the CEO
Ella Lewis Sch,Rsu 24,Steuben,79,53,Yes under Community Eligibility Option (CEO)
Ella P Burr School,Rsu 67,Lincoln,324,176,Yes under Provision 2
Ellsworth Elementary-Middle School,Ellsworth Public Schools,Ellsworth,740,411,Yes under Provision 2
Ellsworth High School,Ellsworth Public Schools,Ellsworth,521,239,Yes under Provision 2
Elm Street School-East Machias,East Machias Public Schools,East Machias,176,90,Yes participating without using any Provision or the CEO
Elm Street School-Mechanic Falls,Rsu 16,Mechanic Falls,241,148,Yes participating without using any Provision or the CEO
Enfield Station Elementary School,Rsu 31/Msad 31,West Enfield,210,130,Yes under Provision 2
Eric L Knowlton School,Rsu 60/Msad 60,Berwick,204,74,Yes under Provision 2
Etna-Dixmont School,Rsu 19,Etna,185,120,Yes under Provision 2
Eva Hoyt Zippel School,Rsu 79/Msad 01,Presque Isle,289,170,Yes under Provision 2
Fairmount School,Bangor Public Schools,Bangor,259,160,Yes under Community Eligibility Option (CEO)
Fairview School,Auburn Public Schools,Auburn,489,216,Yes under Community Eligibility Option (CEO)
Falmouth Elementary School,Falmouth Public Schools,Falmouth,871,67,Yes under Provision 2
Falmouth High School,Falmouth Public Schools,Falmouth,669,48,Yes under Provision 2
Falmouth Middle School,Falmouth Public Schools,Falmouth,438,43,Yes under Provision 2
Farrington School,Augusta Public Schools,Augusta,306,195,Yes under Provision 2
Farwell Elementary School,Lewiston Public Schools,Lewiston,401,219,Yes under Community Eligibility Option (CEO)
Fayette Central School,Fayette Public Schools,Fayette,73,34,Yes under Provision 2
Fiddlehead School of Arts & Science,Fiddlehead School of Arts and Sciences,Gray,177,50,No
Fisher-Mitchell School,Rsu 01 - Lkrsu,Bath,200,105,Yes under Provision 2
Forest Hills Consolidated School,Rsu 82/Msad 12,Jackman,132,51,Yes participating without using any Provision or the CEO
Fort Fairfield Elementary School,Rsu 86/Msad 20,Fort Fairfield,188,114,Yes under Community Eligibility Option (CEO)
Fort Fairfield Middle/High School,Rsu 86/Msad 20,Fort Fairfield,238,108,Yes under Provision 2
Fort Kent Community High School,Msad 27,Fort Kent,240,116,Yes under Provision 2
Fort Kent Elementary School,Msad 27,Fort Kent,454,224,Yes under Provision 2
Fort O'Brien School,Machiasport Public Schools,Machiasport,57,35,Yes participating without using any Provision or the CEO
Fort Street School,Rsu 42/Msad 42,Mars Hill,176,101,Yes participating without using any Provision or the CEO
Fourteenth Street School,Bangor Public Schools,Bangor,153,66,Yes under Community Eligibility Option (CEO)
Frank H Harrison Middle School,Yarmouth Schools,Yarmouth,379,56,Yes under Provision 2
Frank I Brown Elementary School,South Portland Public Schools,South Portland,213,69,Yes under Provision 2
Freeport High School,Rsu 05,Freeport,593,129,Yes under Provision 2
Freeport Middle School,Rsu 05,Freeport,288,64,Yes under Provision 2
