school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Blackstone Valley Prep High,Blackstone Valley Prep A RI Mayoral Academy,Cumberland,405,299,Yes under Community Eligibility Option (CEO)
Blackstone Valley Prep Jr High,Blackstone Valley Prep A RI Mayoral Academy,Central Falls,323,260,Yes under Community Eligibility Option (CEO)
Blackstone Valley Prep Upper E,Blackstone Valley Prep A RI Mayoral Academy,Lincoln,380,281,Yes under Community Eligibility Option (CEO)
Block Island School,New Shoreham,Block Island,126,50,Yes participating without using any Provision or the CEO
Bridge Academy,Providence,Providence,117,76,Yes under Community Eligibility Option (CEO)
Broad Rock Middle School,South Kingstown,Wakefield,554,159,Yes participating without using any Provision or the CEO
Brown Avenue School,Johnston,Johnston,251,108,Yes participating without using any Provision or the CEO
Burrillville High School,Burrillville,Harrisville,634,236,Yes participating without using any Provision or the CEO
Burrillville Middle School,Burrillville,Harrisville,469,205,Yes participating without using any Provision or the CEO
Calcutt Middle School,Central Falls,Central Falls,476,444,Yes under Community Eligibility Option (CEO)
Capt. Isaac Paine El. School,Foster,Foster,241,61,Yes participating without using any Provision or the CEO
Cedar Hill School,Warwick,Warwick,299,79,Yes participating without using any Provision or the CEO
Central Falls Sr High,Central Falls,Central Falls,788,748,Yes under Community Eligibility Option (CEO)
Central High School,Providence,Providence,1050,868,Yes under Community Eligibility Option (CEO)
Centredale School,North Providence,North Providence,221,134,Yes participating without using any Provision or the CEO
Charette Charter School,Charette Charter,Providence,168,148,Yes under Community Eligibility Option (CEO)
Chariho Alternative Learning A,Chariho,Wood River Junction,71,46,Yes under Community Eligibility Option (CEO)
Chariho High School,Chariho,Wood River Junction,991,271,Yes participating without using any Provision or the CEO
Chariho Regional Middle School,Chariho,Wood River Junction,834,252,Yes participating without using any Provision or the CEO
Charles E. Shea High School,Pawtucket,Pawtucket,770,626,Yes under Community Eligibility Option (CEO)
Charlestown Elementary School,Chariho,Charlestown,246,77,Yes participating without using any Provision or the CEO
Claiborne Pell Elementary,Newport,Newport,657,488,Yes under Community Eligibility Option (CEO)
Classical High School,Providence,Providence,1116,680,Yes under Community Eligibility Option (CEO)
Clayville School,Scituate,Clayville,140,31,Yes participating without using any Provision or the CEO
Colt Andrews School,Bristol Warren,Bristol,307,148,Yes participating without using any Provision or the CEO
Community School,Cumberland,Cumberland,545,49,Yes participating without using any Provision or the CEO
Cornel Young & Charlotte Woods,Providence,Providence,635,529,Yes under Community Eligibility Option (CEO)
Coventry High School,Coventry,Coventry,1201,451,Yes participating without using any Provision or the CEO
Cranston Early Learning Center,Cranston,Cranston,49,16,Yes participating without using any Provision or the CEO
Cranston High School East,Cranston,Cranston,1525,1127,Yes participating without using any Provision or the CEO
Cranston High School West,Cranston,Cranston,1653,598,Yes participating without using any Provision or the CEO
Cumberland High School,Cumberland,Cumberland,1428,434,Yes participating without using any Provision or the CEO
Cumberland Preschool Center,Cumberland,Cumberland,109,29,Yes participating without using any Provision or the CEO
Cunningham School,Pawtucket,Pawtucket,355,331,Yes under Community Eligibility Option (CEO)
