school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Berlin Intermediate,Worcester County Public Schools,Berlin,613,287,Yes under Community Eligibility Option (CEO)
Berry Elementary School,Charles County Public Schools,Waldorf,726,384,Yes participating without using any Provision or the CEO
Berwyn Heights Elementary,Prince George's County Public Schools,Berwyn Heights,421,385,Yes under Community Eligibility Option (CEO)
Bester Elementary,Washington County Public Schools,Hagerstown,490,415,Yes under Community Eligibility Option (CEO)
Bethesda Elementary,Montgomery County Public Schools,Bethesda,645,163,Yes participating without using any Provision or the CEO
Bethesda-Chevy Chase High,Montgomery County Public Schools,Bethesda,2377,569,Yes participating without using any Provision or the CEO
Beverly Farms Elementary,Montgomery County Public Schools,Potomac,526,45,Yes participating without using any Provision or the CEO
Billie Holiday Elementary,Baltimore City Public Schools,Baltimore,242,208,Yes under Community Eligibility Option (CEO)
Billingsley Elementary School,Charles County Public Schools,White Plains,687,339,Yes participating without using any Provision or the CEO
Bladensburg Elementary,Prince George's County Public Schools,Bladensburg,713,652,Yes under Community Eligibility Option (CEO)
Bladensburg High,Prince George's County Public Schools,Bladensburg,2114,2051,Yes under Community Eligibility Option (CEO)
Blue Heron Elementary,Frederick County Public Schools,New Market,680,58,Yes participating without using any Provision or the CEO
Bodkin Elementary,Anne Arundel County Public Schools,Pasadena,504,85,Yes participating without using any Provision or the CEO
Bohemia Manor High,Cecil County Public Schools,Chesapeake City,591,241,Yes participating without using any Provision or the CEO
Bohemia Manor Middle,Cecil County Public Schools,Chesapeake City,473,240,Yes participating without using any Provision or the CEO
Bollman Bridge Elementary,Howard County Public Schools,Jessup,775,410,Yes participating without using any Provision or the CEO
Bond Mill Elementary,Prince George's County Public Schools,Laurel,463,243,Yes participating without using any Provision or the CEO
Bonnie Branch Middle,Howard County Public Schools,Ellicott City,739,216,Yes participating without using any Provision or the CEO
Booker T. Washington Middle,Baltimore City Public Schools,Baltimore,192,183,Yes under Community Eligibility Option (CEO)
Boonsboro Elementary,Washington County Public Schools,Boonsboro,514,158,Yes participating without using any Provision or the CEO
Boonsboro High,Washington County Public Schools,Boonsboro,838,316,Yes participating without using any Provision or the CEO
Boonsboro Middle,Washington County Public Schools,Boonsboro,673,225,Yes participating without using any Provision or the CEO
Bowie High,Prince George's County Public Schools,Bowie,2580,1361,Yes participating without using any Provision or the CEO
Bradbury Heights Elementary,Prince George's County Public Schools,Capital Heights,354,333,Yes under Community Eligibility Option (CEO)
Braddock Middle,Allegany County Public Schools,Cumberland,536,295,Yes under Community Eligibility Option (CEO)
Bradley Hills Elementary,Montgomery County Public Schools,Bethesda,474,10,Yes participating without using any Provision or the CEO
Brandywine Elementary,Prince George's County Public Schools,Brandywine,572,334,Yes participating without using any Provision or the CEO
Briggs Chaney Middle,Montgomery County Public Schools,Silver Spring,858,532,Yes participating without using any Provision or the CEO
Broad Ford Elementary,Garrett County Public Schools,Oakland,601,401,Yes participating without using any Provision or the CEO
Broadneck Elementary,Anne Arundel County Public Schools,Arnold,652,114,Yes participating without using any Provision or the CEO
Broadneck High,Anne Arundel County Public Schools,Annapolis,2143,379,Yes participating without using any Provision or the CEO
Brock Bridge Elementary,Anne Arundel County Public Schools,Laurel,514,358,Yes participating without using any Provision or the CEO
Brooke Grove Elementary,Montgomery County Public Schools,Olney,390,136,Yes participating without using any Provision or the CEO
Brookhaven Elementary,Montgomery County Public Schools,Rockville,436,265,Yes under Community Eligibility Option (CEO)
Brooklyn Park Elementary,Anne Arundel County Public Schools,Baltimore,463,388,Yes participating without using any Provision or the CEO
Brooklyn Park Middle,Anne Arundel County Public Schools,Baltimore,784,512,Yes participating without using any Provision or the CEO
Brown Station Elementary,Montgomery County Public Schools,Gaithersburg,572,329,Yes under Community Eligibility Option (CEO)
Brunswick Elementary,Frederick County Public Schools,Brunswick,804,264,Yes participating without using any Provision or the CEO
Brunswick High,Frederick County Public Schools,Brunswick,910,253,Yes participating without using any Provision or the CEO
Brunswick Middle,Frederick County Public Schools,Brunswick,638,191,Yes participating without using any Provision or the CEO
Bryant Woods Elementary,Howard County Public Schools,Columbia,366,187,Yes under Community Eligibility Option (CEO)
Buck Lodge Middle,Prince George's County Public Schools,Adelphi,1200,1148,Yes under Community Eligibility Option (CEO)
Buckingham Elementary,Worcester County Public Schools,Berlin,518,251,Yes under Community Eligibility Option (CEO)
Burleigh Manor Middle,Howard County Public Schools,Ellicott City,777,136,Yes participating without using any Provision or the CEO
Burning Tree Elementary,Montgomery County Public Schools,Bethesda,479,41,Yes participating without using any Provision or the CEO
Burnt Mills Elementary,Montgomery County Public Schools,Silver Spring,747,464,Yes under Community Eligibility Option (CEO)
Burtonsville Elementary,Montgomery County Public Schools,Burtonsville,601,330,Yes participating without using any Provision or the CEO
Bushy Park Elementary,Howard County Public Schools,Glenwood,631,59,Yes participating without using any Provision or the CEO
Butterfly Ridge Elementary,Frederick County Public Schools,Frederick,607,409,Yes participating without using any Provision or the CEO
C. Elizabeth Rieg,Prince George's County Public Schools,Mitchellville,148,106,Yes participating without using any Provision or the CEO
C. Milton Wright High,Harford County Public Schools,Bel Air,1291,326,Yes participating without using any Provision or the CEO
C. Paul Barnhart Elementary School,Charles County Public Schools,Waldorf,598,362,Yes participating without using any Provision or the CEO
Cabin Branch Elementary,Montgomery County Public Schools,Clarksburg,645,181,Yes participating without using any Provision or the CEO
Cabin John Middle,Montgomery County Public Schools,Potomac,983,121,Yes participating without using any Provision or the CEO
Callaway Elementary,Baltimore City Public Schools,Baltimore,231,197,Yes under Community Eligibility Option (CEO)
Calvert Country School,Calvert County Public Schools,Prince Frederick,40,24,Yes participating without using any Provision or the CEO
Calvert County Alternative School,Calvert County Public Schools,Prince Frederick,7,,Yes participating without using any Provision or the CEO
Calvert Elementary,Calvert County Public Schools,Prince Frederick,495,168,Yes participating without using any Provision or the CEO
Calvert Elementary,Cecil County Public Schools,Rising Sun,390,151,Yes participating without using any Provision or the CEO
Calvert High,Calvert County Public Schools,Prince Frederick,1080,424,Yes participating without using any Provision or the CEO
Calvert Middle,Calvert County Public Schools,Prince Frederick,607,240,Yes participating without using any Provision or the CEO
Calverton Elementary,Prince George's County Public Schools,Beltsville,767,725,Yes under Community Eligibility Option (CEO)
Calvin M. Rodwell Elementary/Middle,Baltimore City Public Schools,Baltimore,799,622,Yes under Community Eligibility Option (CEO)
Cambridge-South Dorchester High School,Dorchester County Public Schools,Cambridge,811,,Yes under Community Eligibility Option (CEO)
