school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Annette P. Edwins Elementary School,Okaloosa,Fort Walton Beach,490,377,Yes participating without using any Provision or the CEO
Annie Lucy Williams Elementary School,Manatee,Parrish,981,342,Yes participating without using any Provision or the CEO
Annie R. Morgan Elementary School,Duval,Jacksonville,192,144,Yes under Community Eligibility Option (CEO)
Anona Elementary School,Pinellas,Largo,430,169,Yes under Community Eligibility Option (CEO)
Anthony Elementary School,Marion,Anthony,351,246,Yes under Community Eligibility Option (CEO)
Antioch Elementary School,Okaloosa,Crestview,931,469,Yes participating without using any Provision or the CEO
Apalachee Elementary School,Leon,Tallahassee,482,314,Yes under Community Eligibility Option (CEO)
Apalachicola Bay Charter School,Franklin,Apalachicola,356,180,Yes under Community Eligibility Option (CEO)
Apalachicola Forest Youth Academy,Liberty,Bristol,23,,No
Apollo Beach K-8 School,Hillsborough,Apollo Beach,794,253,Yes under Community Eligibility Option (CEO)
Apollo Elementary School,Brevard,Titusville,596,378,Yes under Community Eligibility Option (CEO)
Apollo Middle School,Broward,Hollywood,1143,515,Yes under Community Eligibility Option (CEO)
Apopka Elementary,Orange,Apopka,847,419,Yes under Community Eligibility Option (CEO)
Apopka High,Orange,Apopka,3446,1305,Yes under Community Eligibility Option (CEO)
Apopka Middle,Orange,Apopka,858,463,Yes under Community Eligibility Option (CEO)
Arbor Ridge K-8,Orange,Orlando,756,293,Yes under Community Eligibility Option (CEO)
Arc Broward Inc.,Broward,Sunrise,69,22,Yes under Community Eligibility Option (CEO)
Archcreek Elementary School,Miami-Dade,North Miami,450,293,Yes under Community Eligibility Option (CEO)
Archer Elementary,Alachua,Archer,413,209,Yes under Community Eligibility Option (CEO)
Archimedean Academy,Miami-Dade,Miami,644,234,Yes participating without using any Provision or the CEO
Archimedean Middle Conservatory,Miami-Dade,Miami,328,130,Yes participating without using any Provision or the CEO
Archimedean Upper Conservatory,Miami-Dade,Miami,306,99,Yes participating without using any Provision or the CEO
Arcola Lake Elementary School,Miami-Dade,Miami,601,407,Yes under Community Eligibility Option (CEO)
Argyle Elementary School,Clay,Orange Park,722,456,Yes participating without using any Provision or the CEO
Arlington Elementary School,Duval,Jacksonville,179,100,Yes under Community Eligibility Option (CEO)
Arlington Heights Elementary School,Duval,Jacksonville,314,203,Yes under Community Eligibility Option (CEO)
Arlington Middle School,Duval,Jacksonville,684,431,Yes under Community Eligibility Option (CEO)
Armwood High School,Hillsborough,Seffner,2278,1271,Yes under Community Eligibility Option (CEO)
Arthur and Polly Mays Conservatory of the Arts,Miami-Dade,Goulds,514,282,Yes under Community Eligibility Option (CEO)
Arvida Middle School,Miami-Dade,Miami,989,381,Yes under Community Eligibility Option (CEO)
Ascend Career Academy,Broward,Margate,215,16,Yes under Community Eligibility Option (CEO)
Ashton Elementary School,Sarasota,Sarasota,964,270,Yes participating without using any Provision or the CEO
Aspire Academy Charter,Orange,Orlando,100,79,Yes under Community Eligibility Option (CEO)
Aspire Preparatory Academy,Miami-Dade,Miami Gardens,21,,No
Astoria Park Elementary School,Leon,Tallahassee,479,367,Yes under Community Eligibility Option (CEO)
Astronaut High School,Brevard,Titusville,1056,499,Yes participating without using any Provision or the CEO
Athenian Academy,Pinellas,Clearwater,377,153,Yes under Community Eligibility Option (CEO)
Athenian Academy Charter School,Lee,Fort Myers,437,108,Yes participating without using any Provision or the CEO
Athenian Academy of Technology and the Arts,Pasco,New Port Richey,404,186,Yes under Community Eligibility Option (CEO)
Atlantic Beach Elementary School,Duval,Atlantic Beach,482,74,Yes under Community Eligibility Option (CEO)
Atlantic Coast High School,Duval,Jacksonville,2887,795,Yes under Community Eligibility Option (CEO)
Atlantic High School,Palm Beach,Delray Beach,1810,983,Yes under Community Eligibility Option (CEO)
Atlantic High School,Volusia,Port Orange,1209,631,Yes under Community Eligibility Option (CEO)
Atlantic Montessori Charter School,Broward,Pembroke Pines,75,26,No
Atlantic Montessori Charter School West Campus,Broward,Davie,111,20,No
Atlantic Technical College,Broward,Margate,680,218,Yes under Community Eligibility Option (CEO)
Atlantic West Elementary School,Broward,Margate,579,319,Yes under Community Eligibility Option (CEO)
Atlantis Elementary School,Brevard,Cocoa,650,287,Yes under Community Eligibility Option (CEO)
Attucks Middle School,Broward,Hollywood,632,297,Yes under Community Eligibility Option (CEO)
Atwater Bay Elementary,Orange,Winter Garden,748,104,Yes participating without using any Provision or the CEO
Atwater Elementary,Sarasota,North Port,892,551,Yes participating without using any Provision or the CEO
Aubrey Rogers High School,Collier,Naples,1496,361,Yes participating without using any Provision or the CEO
Auburndale Central Elementary School,Polk,Auburndale,371,278,Yes under Community Eligibility Option (CEO)
Auburndale Elementary School,Miami-Dade,Miami,779,397,Yes under Community Eligibility Option (CEO)
Auburndale Senior High School,Polk,Auburndale,1770,1126,Yes under Community Eligibility Option (CEO)
Audubon Elementary School,Brevard,Merritt Island,416,187,Yes under Community Eligibility Option (CEO)
Audubon Park School,Orange,Orlando,1184,169,Yes under Community Eligibility Option (CEO)
Aurelia M. Cole Academy,Lake,Clermont,1500,651,Yes under Community Eligibility Option (CEO)
Avalon Elementary,Orange,Orlando,553,106,Yes under Community Eligibility Option (CEO)
Avalon Elementary School,Collier,Naples,363,213,Yes under Community Eligibility Option (CEO)
Avalon Middle,Orange,Orlando,791,121,Yes under Community Eligibility Option (CEO)
Avalon Middle School,Santa Rosa,Milton,768,426,Yes participating without using any Provision or the CEO
Avant Garde Academy Foundation K8,Broward,Hollywood,90,32,Yes under Community Eligibility Option (CEO)
Avant Garde Academy K-5 Broward,Broward,Hollywood,959,469,Yes under Community Eligibility Option (CEO)
Avant Garde Academy of Broward,Broward,Hollywood,1122,416,Yes under Community Eligibility Option (CEO)
Aventura City of Excellence School,Miami-Dade,Aventura,1032,5,Yes participating without using any Provision or the CEO
Aventura Waterways K-8 Center,Miami-Dade,Miami,2063,524,Yes under Community Eligibility Option (CEO)
Avocado Elementary School,Miami-Dade,Homestead,669,423,Yes under Community Eligibility Option (CEO)
Avon Elementary School,Highlands,Avon Park,503,346,Yes under Community Eligibility Option (CEO)
Avon Park High School,Highlands,Avon Park,980,580,Yes under Community Eligibility Option (CEO)
Avon Park Middle School,Highlands,Avon Park,600,422,Yes under Community Eligibility Option (CEO)
Azalea Elementary School,Pinellas,St Petersburg,426,219,Yes under Community Eligibility Option (CEO)
Azalea Middle School,Pinellas,St Petersburg,696,440,Yes under Community Eligibility Option (CEO)
Azalea Park Elementary,Orange,Orlando,470,329,Yes under Community Eligibility Option (CEO)
B.d. Gullett Elementary School,Manatee,Bradenton,1314,280,Yes participating without using any Provision or the CEO
Babcock Neighborhood School,Charlotte,Babcock Ranch,1053,5,Yes participating without using any Provision or the CEO
Bagdad Elementary School,Santa Rosa,Milton,501,349,Yes participating without using any Provision or the CEO
Bailey Elementary School,Hillsborough,Dover,719,454,Yes under Community Eligibility Option (CEO)
Bair Middle School,Broward,Sunrise,672,329,Yes under Community Eligibility Option (CEO)
Bak Middle School of the Arts,Palm Beach,West Palm Beach,1246,246,Yes under Community Eligibility Option (CEO)
Baker County Middle School,Baker,Macclenny,1067,479,Yes under Community Eligibility Option (CEO)
Baker County Senior High School,Baker,Glen St Mary,1318,446,Yes under Community Eligibility Option (CEO)
Baker School,Okaloosa,Baker,1434,864,Yes participating without using any Provision or the CEO
Baker/Head Start,Charlotte,Punta Gorda,165,127,Yes under Community Eligibility Option (CEO)
Baldwin Middle-Senior High School,Duval,Jacksonville,1462,548,Yes under Community Eligibility Option (CEO)
Baldwin Park Elementary,Orange,Orlando,732,194,Yes under Community Eligibility Option (CEO)
Ballard Elementary School,Manatee,Bradenton,421,321,Yes under Community Eligibility Option (CEO)
Ballast Point Elementary School,Hillsborough,Tampa,408,103,Yes participating without using any Provision or the CEO
Banyan Creek Elementary School,Palm Beach,Delray Beach,875,370,Yes under Community Eligibility Option (CEO)
Banyan Elementary School,Miami-Dade,Miami,340,151,Yes under Community Eligibility Option (CEO)
Banyan Elementary School,Broward,Sunrise,427,235,Yes under Community Eligibility Option (CEO)
Barbara a Harvey Elementary School,Manatee,Parrish,1356,511,Yes participating without using any Provision or the CEO
Barbara Goleman Senior High,Miami-Dade,Miami Lakes,2973,1192,Yes under Community Eligibility Option (CEO)
Barbara Hawkins Elementary School,Miami-Dade,Miami Gardens,227,161,Yes under Community Eligibility Option (CEO)
Bardmoor Elementary School,Pinellas,Seminole,457,251,Yes under Community Eligibility Option (CEO)
Barrington Middle School,Hillsborough,Lithia,1345,440,Yes participating without using any Provision or the CEO
Barron Collier High School,Collier,Naples,1472,461,Yes participating without using any Provision or the CEO
Barton Elementary School,Palm Beach,Lake Worth,1185,813,Yes under Community Eligibility Option (CEO)
Bartow Elementary Academy,Polk,Bartow,524,257,Yes under Community Eligibility Option (CEO)
Bartow Middle School,Polk,Bartow,881,628,Yes under Community Eligibility Option (CEO)
Bartow Senior High School,Polk,Bartow,2276,1316,Yes under Community Eligibility Option (CEO)
Bartram Springs Elementary,Duval,Jacksonville,1013,238,Yes under Community Eligibility Option (CEO)
Bartram Trail High School,St. Johns,Saint Johns,2153,111,No
Bauder Elementary School,Pinellas,Seminole,530,146,Yes participating without using any Provision or the CEO
Baudhuin Oral School-Nova University,Broward,Davie,120,49,Yes under Community Eligibility Option (CEO)
Bay Crest Elementary School,Hillsborough,Tampa,572,357,Yes under Community Eligibility Option (CEO)
Bay Haven Charter Academy,Bay,Panama City,766,308,Yes participating without using any Provision or the CEO
Bay Haven Charter Middle School,Bay,Panama City,429,153,Yes participating without using any Provision or the CEO
Bay Haven School of Basics Plus,Sarasota,Sarasota,547,284,Yes participating without using any Provision or the CEO
Bay High School,Bay,Panama City,1289,570,Yes under Community Eligibility Option (CEO)
Bay Lake Elementary,Orange,Windermere,680,138,Yes under Community Eligibility Option (CEO)
Bay Meadows Elementary,Orange,Orlando,764,154,Yes under Community Eligibility Option (CEO)
Bay Point Elementary School,Pinellas,St Petersburg,390,288,Yes under Community Eligibility Option (CEO)
Bay Point Middle School,Pinellas,St Petersburg,519,348,Yes under Community Eligibility Option (CEO)
Bay School,Walton,Santa Rosa,130,44,Yes participating without using any Provision or the CEO
Bay Virtual Franchise,Bay,Panama City,25,3,No
Bay Virtual Instruction Program,Bay,Panama City,2,,No
Bay Virtual Instruction Program (District Provided),Bay,Panama City,14,6,No
Bay Vista Fundamental Elementary School,Pinellas,St Petersburg,574,207,Yes under Community Eligibility Option (CEO)
Bayonet Point Middle School,Pasco,New Port Richey,668,419,Yes under Community Eligibility Option (CEO)
Bayshore Elementary School,Manatee,Bradenton,711,514,Yes under Community Eligibility Option (CEO)
Bayshore Elementary School,St. Lucie,Port St Lucie,879,595,Yes participating without using any Provision or the CEO
Bayshore High School,Manatee,Bradenton,1400,866,Yes under Community Eligibility Option (CEO)
Bayshore School,Lee,North Ft Myers,685,274,Yes under Community Eligibility Option (CEO)
