school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Belleville Middle School,Belleville Public School District,Belleville,685,490,Yes participating without using any Provision or the CEO
Belleville Ps10,Belleville Public School District,Belleville,164,101,Yes participating without using any Provision or the CEO
Belleville Ps3,Belleville Public School District,Belleville,334,226,Yes participating without using any Provision or the CEO
Belleville Ps4,Belleville Public School District,Belleville,438,342,Yes participating without using any Provision or the CEO
Belleville Ps5,Belleville Public School District,Belleville,362,235,Yes participating without using any Provision or the CEO
Belleville Ps7,Belleville Public School District,Belleville,425,249,Yes participating without using any Provision or the CEO
Belleville Ps8,Belleville Public School District,Belleville,505,407,Yes participating without using any Provision or the CEO
Belleville Ps9,Belleville Public School District,Belleville,138,106,Yes participating without using any Provision or the CEO
Bellmawr Park Elementary School,Bellmawr Public School District,Bellmawr,496,298,Yes participating without using any Provision or the CEO
Bells Elementary School,Washington Township School District,Turnersville,571,119,Yes participating without using any Provision or the CEO
Belmar Elementary,Belmar Elementary School District,Belmar,400,224,Yes participating without using any Provision or the CEO
Belmont Runyon Elementary School,Newark Public School District,Newark,508,385,Yes participating without using any Provision or the CEO
Beloved Community Charter School,BelovED Community Charter,Jersey City,1573,1248,Yes participating without using any Provision or the CEO
Belvidere Elementary School,Belvidere School District,Belvidere,274,121,No
Belvidere High School,Belvidere School District,Belvidere,303,84,No
Ben Franklin Elementary,Lawrence Township Public School District,Lawrenceville,342,73,Yes participating without using any Provision or the CEO
Benedict A. Cucinella School,Washington Township School District,Long Valley,529,47,Yes participating without using any Provision or the CEO
Benjamin Banneker Preparatory Charter School,Benjamin Banneker Preparatory Charter School,Willingboro,356,171,Yes participating without using any Provision or the CEO
Benjamin C Gregory Elementary School,Trenton Public School District,Trenton,311,283,Yes under Community Eligibility Option (CEO)
Benjamin Franklin Elementary School,Edison Township School District,Edison,619,298,Yes participating without using any Provision or the CEO
Benjamin Franklin Elementary School,Pennsauken Township Board of Education School District,Pennsauken,418,289,Yes participating without using any Provision or the CEO
Benjamin Franklin Middle School,Ridgewood Public School District,Ridgewood,627,16,No
Benjamin Franklin Middle School,Teaneck School District,Teaneck,463,242,Yes participating without using any Provision or the CEO
Benjamin Franklin School No. 13,Elizabeth Public Schools,Elizabeth,392,345,Yes participating without using any Provision or the CEO
Bergen Arts and Sciences Charter School,Bergen Arts and Science Charter School,Garfield,1276,789,Yes participating without using any Provision or the CEO
Bergen Boulevard School,Ridgefield School District,Ridgefield,187,93,Yes participating without using any Provision or the CEO
Bergen County Academies,Bergen County Vocational Technical School District,Hackensack,1130,110,Yes participating without using any Provision or the CEO
Bergen County Institute for Science and Technology,Bergen County Vocational Technical School District,Demarest,290,24,No
Bergen County Technical High School - Paramus,Bergen County Vocational Technical School District,Paramus,288,101,No
Bergen County Technical High School - Paramus,Bergen County Vocational Technical School District,Paramus,14,8,Yes participating without using any Provision or the CEO
Bergen County Technical High School - Teterboro,Bergen County Vocational Technical School District,Teterboro,665,96,Yes participating without using any Provision or the CEO
Bergenfield High School,Bergenfield Borough School District,Bergenfield,1239,488,Yes participating without using any Provision or the CEO
Berkeley Elementary,Westwood Regional School District,Westwood,277,50,Yes participating without using any Provision or the CEO
Berkeley Elementary School,Bloomfield Township School District,Bloomfield,453,309,Yes participating without using any Provision or the CEO
Berkeley Terrace Elementary School,Irvington Public School District,Irvington,464,335,Yes participating without using any Provision or the CEO
Berkeley Township Elementary School,Berkeley Township School District,Bayville,594,228,Yes participating without using any Provision or the CEO
Berkley Street School,New Milford Public School District,New Milford,415,112,Yes participating without using any Provision or the CEO
Berlin Community School,Berlin Borough School District,Berlin,853,201,No
Bernards High School,Somerset Hills Regional School District,Bernardsville,751,136,Yes participating without using any Provision or the CEO
Bernardsville Middle School,Somerset Hills Regional School District,Bernardsville,419,75,Yes participating without using any Provision or the CEO
Bertrand F. Gibbs Elementary School,New Milford Public School District,New Milford,476,100,Yes participating without using any Provision or the CEO
Betsy Ross Elementary,Mahwah Township Public School District,Mahwah,238,12,Yes participating without using any Provision or the CEO
Betty Maddalena Early Learning Center,West Orange Public Schools,West Orange,49,16,Yes participating without using any Provision or the CEO
Betty McElmon Elementary School,West Long Branch School District,West Long Branch,320,63,No
Beverly City School District,Beverly City School District,Beverly,342,245,Yes participating without using any Provision or the CEO
Billingsport Elementary School,Paulsboro School District,Paulsboro,296,228,Yes under Community Eligibility Option (CEO)
Biotechnology High School,Monmouth County Vocational School District,Freehold,315,4,No
Birches Elementary School,Washington Township School District,Turnersville,472,108,Yes participating without using any Provision or the CEO
Birchwood Elementary School,Rockaway Township School District,Dover,314,66,Yes participating without using any Provision or the CEO
Black River Middle School,Chester Township School District,Chester,352,20,Yes participating without using any Provision or the CEO
Blackwood Elementary School,Gloucester Township Public Schools,Blackwood,574,346,Yes participating without using any Provision or the CEO
Blairstown Elementary School,Blairstown Elementary Township School District,Blairstown,418,76,Yes participating without using any Provision or the CEO
Blanquita B. Valenti Community School,New Brunswick School District,New Brunswick,810,759,Yes participating without using any Provision or the CEO
Bloomfield High School,Bloomfield Township School District,Bloomfield,2055,1033,Yes participating without using any Provision or the CEO
Bloomfield Middle School,Bloomfield Township School District,Bloomfield,944,473,Yes participating without using any Provision or the CEO
Bloomingdale Avenue School,Cranford Public School District,Cranford,226,3,No
Bloomsbury Borough School,Bloomsbury Borough School District,Bloomsbury,98,23,No
Bobby's Run Elementary School,Lumberton Township Board of Education,Lumberton,457,163,Yes participating without using any Provision or the CEO
Bogota Jr./Sr. High School,Bogota Public School District,Bogota,475,283,Yes participating without using any Provision or the CEO
Bogota Middle School,Bogota Public School District,Bogota,166,110,Yes participating without using any Provision or the CEO
Boonton High School,Boonton Town Public School District,Boonton,646,210,Yes participating without using any Provision or the CEO
Bordentown Regional High School,Bordentown Regional School District,Bordentown,728,128,Yes participating without using any Provision or the CEO
Bordentown Regional Middle School,Bordentown Regional School District,Bordentown,504,104,Yes participating without using any Provision or the CEO
Bound Brook High School,Bound Brook School District,Bound Brook,579,484,Yes participating without using any Provision or the CEO
Bowne-Munro Elementary School,East Brunswick Township School District,East Brunswick,201,48,Yes participating without using any Provision or the CEO
Bradford Elementary School,Montclair Public School District,Upper Montclair,388,32,Yes participating without using any Provision or the CEO
Bradley Beach Elementary School,Bradley Beach School District,Bradley Beach,193,125,Yes participating without using any Provision or the CEO
Bradley Elementary School,Asbury Park School District,Asbury Park,345,281,No
Bradley Gardens Primary School,Bridgewater-Raritan Regional School District,Bridgewater,279,38,Yes participating without using any Provision or the CEO
Bragg Elementary School,Chester Township School District,Chester,297,14,Yes participating without using any Provision or the CEO
Branch Brook School,Newark Public School District,Newark,60,39,Yes participating without using any Provision or the CEO
Branchburg Central Middle School,Branchburg Township School District,Branchburg,458,57,Yes participating without using any Provision or the CEO
Brass Castle School,Washington Township School District,Washington,261,57,Yes participating without using any Provision or the CEO
Brayton Elementary School,Summit Public School District,Summit,335,58,Yes participating without using any Provision or the CEO
Bret Harte Elementary School,Cherry Hill School District,Cherry Hill,363,45,Yes participating without using any Provision or the CEO
Briarcliff Middle School,Mountain Lakes Public School District,Mountain Lakes,263,3,No
Briarwood School,Florham Park School District,Florham Park,311,3,No
Brick Township High School,Brick Township Public School District,Brick Town,1200,494,Yes participating without using any Provision or the CEO
Brick Township Memorial High School,Brick Township Public School District,Brick,1269,461,Yes participating without using any Provision or the CEO
Bridgeton High School,Bridgeton City School District,Bridgeton,1641,1503,Yes under Community Eligibility Option (CEO)
Bridgeton Public Charter School,Bridgeton Public Charter School,Bridgeton,106,3,Yes under Community Eligibility Option (CEO)
Bridgewater-Raritan High School,Bridgewater-Raritan Regional School District,Bridgewater,2673,404,Yes participating without using any Provision or the CEO
Bridgewater-Raritan Middle School,Bridgewater-Raritan Regional School District,Bridgewater,1220,190,Yes participating without using any Provision or the CEO
Brielle Elementary School,Brielle Boro School District,Brielle,471,11,No
Brigantine Community School,Brigantine Public School District,Brigantine,380,145,Yes participating without using any Provision or the CEO
Bright Beginnings Learning Center,Educational Services Commission of New Jersey,Piscataway,144,22,Yes participating without using any Provision or the CEO
Brighton Avenue School,Atlantic City School District,Atlantic City,302,278,Yes participating without using any Provision or the CEO
Brilla New Jersey Charter School,Brilla New Jersey Charter School,Paterson,362,295,Yes participating without using any Provision or the CEO
Broad Street Elementary School,Greenwich Township School District,Gibbstown,290,95,Yes participating without using any Provision or the CEO
Broad Street School,Bridgeton City School District,Bridgeton,784,745,Yes under Community Eligibility Option (CEO)
Brookdale Avenue School,Verona Public School District,Verona,134,,No
Brookdale Elementary School,Bloomfield Township School District,Bloomfield,342,43,Yes participating without using any Provision or the CEO
Brooklake School,Florham Park School District,Florham Park,306,3,No
Brooklawn Middle School,Parsippany-Troy Hills Township School District,Parsippany,925,122,Yes participating without using any Provision or the CEO
Brooks Crossing Elementary School,South Brunswick School District,Monmouth Junction,498,87,Yes participating without using any Provision or the CEO
Brookside Elementary School,Monroe Township School District,Monroe Township,431,44,Yes participating without using any Provision or the CEO
Brookside Elementary School,Westwood Regional School District,Westwood,390,49,Yes participating without using any Provision or the CEO
Brookside Place School,Cranford Public School District,Cranford,364,,No
Brookside School,Allendale Public School District,Allendale,502,10,No
Bruce Street School,Newark Public School District,Newark,34,24,No
Brunswick Acres Elementary School,South Brunswick School District,Kendall Park,448,130,Yes participating without using any Provision or the CEO
Buckshutem Road School,Bridgeton City School District,Bridgeton,653,601,Yes under Community Eligibility Option (CEO)
Buena Regional High School,Buena Regional School District,Buena,491,279,Yes participating without using any Provision or the CEO
Buena Regional Middle School,Buena Regional School District,Buena,345,199,Yes participating without using any Provision or the CEO
Bunker Hill Middle School,Washington Township School District,Sewell,562,143,Yes participating without using any Provision or the CEO
Burch Charter School of Excellence,Burch Charter School of Excellence,Irvington,335,221,No
Burlington City High School,Burlington City Public School District,Burlington,757,494,No
Burlington County Alternative High School,Burlington County Special Services School District,Mt. Laurel,71,18,Yes participating without using any Provision or the CEO
Burlington County Institute of Technology - Medford,Burlington County Institute of Technology School District,Medford,896,327,Yes participating without using any Provision or the CEO
Burlington County Institute of Technology - Westampton,Burlington County Institute of Technology School District,Westampton,1300,682,Yes participating without using any Provision or the CEO
Burlington Township High School,Burlington Township School District,Burlington,1118,352,Yes participating without using any Provision or the CEO
Burlington Township Middle School at Springside,Burlington Township School District,Burlington,822,319,Yes participating without using any Provision or the CEO
Burnet Hill Elementary School,Livingston Board of Education School District,Livingston,425,9,No
Burnet Middle School,Township of Union School District,Union,970,558,Yes participating without using any Provision or the CEO
Butler High School,Butler Public School District,Butler,482,134,Yes participating without using any Provision or the CEO
Buzz Aldrin Middle School,Montclair Public School District,Upper Montclair,618,106,Yes participating without using any Provision or the CEO
Byram Intermediate School,Byram Township School District,Stanhope,346,30,Yes participating without using any Provision or the CEO
Byram Lakes Elementary School,Byram Township School District,Stanhope,443,51,Yes participating without using any Provision or the CEO
C. Richard Applegate School,Freehold Township School District,Freehold,358,61,Yes participating without using any Provision or the CEO
Cadwalader Elementary School,Trenton Public School District,Trenton,200,160,Yes under Community Eligibility Option (CEO)
Califon Public School,Califon Borough School District,Califon,94,,No
Calvin Coolidge Elementary School,Wyckoff Township Public School District,Wyckoff,316,,No
Cambridge Elementary School,South Brunswick School District,Kendall Park,416,65,Yes participating without using any Provision or the CEO
Cambridge Park Elementary School,Matawan-Aberdeen Regional School District,Aberdeen,286,56,No
Camden Big Picture Learning Academy,Camden City School District,Camden,150,74,No
Camden County Technical School-Gtc,Camden County Technical School District,Sicklerville,1403,642,Yes participating without using any Provision or the CEO
Camden County Technical School-Pennsauken,Camden County Technical School District,Pennsauken,786,612,Yes participating without using any Provision or the CEO
Camden High School,Camden City School District,Camden,425,231,Yes under Community Eligibility Option (CEO)
Camden Prep Inc.,Camden Prep Inc.,Camden,1498,1402,No
Camden Street Elementary School,Newark Public School District,Newark,685,589,Yes participating without using any Provision or the CEO
Camden's Promise Charter School,Camden's Promise Charter School,Camden,2457,2243,No
Campbell Elementary School,Metuchen Public School District,Metuchen,698,78,Yes participating without using any Provision or the CEO
Canfield Avenue School,Mine Hill Township School District,Mine Hill,382,165,No
Cape May City Elementary School,Cape May City School District,Cape May,155,42,Yes participating without using any Provision or the CEO
