school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
Keaau Elementary School,Hawaii Department of Education,Keaau,829,519,Yes under Community Eligibility Option (CEO),false
Keaau High School,Hawaii Department of Education,Keaau,1041,746,Yes under Community Eligibility Option (CEO),true
Keaau Middle School,Hawaii Department of Education,Keaau,696,500,Yes under Community Eligibility Option (CEO),true
Kealakehe Elementary School,Hawaii Department of Education,Kailua-Kona,924,630,Yes under Community Eligibility Option (CEO),false
Kealakehe High School,Hawaii Department of Education,Kailua-Kona,1401,716,Yes participating without using any Provision or the CEO,true
Kealakehe Intermediate School,Hawaii Department of Education,Kailua-Kona,677,437,Yes under Community Eligibility Option (CEO),true
Keaukaha Elementary School,Hawaii Department of Education,Hilo,341,233,Yes under Community Eligibility Option (CEO),false
Kekaha Elementary School,Hawaii Department of Education,Kekaha,333,195,Yes under Community Eligibility Option (CEO),false
Keolu Elementary School,Hawaii Department of Education,Kailua,125,57,Yes participating without using any Provision or the CEO,false
Keonepoko Elementary School,Hawaii Department of Education,Pahoa,565,395,Yes under Community Eligibility Option (CEO),false
Keoneula Elementary School,Hawaii Department of Education,Ewa Beach,900,192,Yes participating without using any Provision or the CEO,false
Kihei Charter School,Hawaii Department of Education,Kihei,670,265,No,false
Kihei Elementary School,Hawaii Department of Education,Kihei,727,478,Yes participating without using any Provision or the CEO,false
Kilauea Elementary School,Hawaii Department of Education,Kilauea,283,115,Yes participating without using any Provision or the CEO,false
Kilohana Elementary School,Hawaii Department of Education,Kaunakakai,80,71,Yes under Community Eligibility Option (CEO),false
King David Kalakaua Middle School,Hawaii Department of Education,Honolulu,900,578,Yes under Community Eligibility Option (CEO),true
King Kamehameha III Elementary School,Hawaii Department of Education,Lahaina,333,176,Yes participating without using any Provision or the CEO,false
King Kaumualii Elementary School,Hawaii Department of Education,Lihue,524,270,Yes participating without using any Provision or the CEO,false
King Kekaulike High School,Hawaii Department of Education,Pukalani,1217,516,Yes participating without using any Provision or the CEO,true
King Liholiho Elementary School,Hawaii Department of Education,Honolulu,424,109,Yes participating without using any Provision or the CEO,false
King William Lunalilo Elementary School,Hawaii Department of Education,Honolulu,244,172,Yes under Community Eligibility Option (CEO),false
Kipapa Elementary School,Hawaii Department of Education,Mililani,473,225,Yes participating without using any Provision or the CEO,false
Kohala Elementary School,Hawaii Department of Education,Kapaau,381,213,Yes under Community Eligibility Option (CEO),false
Kohala High School,Hawaii Department of Education,Kapaau,259,146,Yes participating without using any Provision or the CEO,true
Kohala Middle School,Hawaii Department of Education,Kapaau,172,85,Yes under Community Eligibility Option (CEO),true
Koko Head Elementary School,Hawaii Department of Education,Honolulu,301,60,Yes participating without using any Provision or the CEO,false
Koloa Elementary School,Hawaii Department of Education,Koloa,355,204,Yes under Community Eligibility Option (CEO),false
Kona Pacific - PCS,Hawaii Department of Education,Kealakekua,177,111,No,true
Konawaena Elementary School,Hawaii Department of Education,Kealakekua,505,325,Yes under Community Eligibility Option (CEO),false
Konawaena High School,Hawaii Department of Education,Kealakekua,955,494,Yes participating without using any Provision or the CEO,true
Konawaena Middle School,Hawaii Department of Education,Kealakekua,614,357,Yes under Community Eligibility Option (CEO),true
Kua O Ka La - Ncpcs,Hawaii Department of Education,Hilo,185,137,Yes under Community Eligibility Option (CEO),true
Kualapuu School - Public Conversion Charter,Hawaii Department of Education,Kualapuu,291,247,Yes under Community Eligibility Option (CEO),false
Kula Aupuni Niihau a Kahelelani Aloha - Ncpcs,Hawaii Department of Education,Kekaha,35,24,No,true
Kula Elementary School,Hawaii Department of Education,Kula,339,167,Yes participating without using any Provision or the CEO,false
Kulanihakoi High School,Hawaii Department of Education,Kihei,370,190,Yes participating without using any Provision or the CEO,false
Kulia Academy,Hawaii Department of Education,Honolulu,98,24,Yes participating without using any Provision or the CEO,false
Lahaina Intermediate School,Hawaii Department of Education,Lahaina,449,279,Yes participating without using any Provision or the CEO,true
Lahainaluna High School,Hawaii Department of Education,Lahaina,813,465,Yes participating without using any Provision or the CEO,false
Laie Elementary School,Hawaii Department of Education,Laie,662,365,Yes participating without using any Provision or the CEO,false
Lanai High & Elementary School,Hawaii Department of Education,Lanai City,579,253,Yes participating without using any Provision or the CEO,false
Lanakila Elementary School,Hawaii Department of Education,Honolulu,287,193,Yes participating without using any Provision or the CEO,false
Laupahoehoe Community - PCS,Hawaii Department of Education,Laupahoehoe,307,188,Yes under Community Eligibility Option (CEO),true
Lehua Elementary School,Hawaii Department of Education,Pearl City,248,122,Yes under Community Eligibility Option (CEO),false
Leihoku Elementary School,Hawaii Department of Education,Waianae,756,556,Yes under Community Eligibility Option (CEO),false
Leilehua High School,Hawaii Department of Education,Wahiawa,1521,757,Yes participating without using any Provision or the CEO,true
Lihikai Elementary School,Hawaii Department of Education,Kahului,632,389,Yes participating without using any Provision or the CEO,false
Linapuni Elementary School,Hawaii Department of Education,Honolulu,121,105,Yes under Community Eligibility Option (CEO),false
Lokelani Intermediate School,Hawaii Department of Education,Kihei,486,261,Yes participating without using any Provision or the CEO,true
Lt Col Horrace Meek Hickam Elementary School,Hawaii Department of Education,Honolulu,529,22,Yes participating without using any Provision or the CEO,false
Maemae Elementary School,Hawaii Department of Education,Honolulu,667,153,Yes participating without using any Provision or the CEO,false
Maili Elementary School,Hawaii Department of Education,Waianae,609,396,Yes under Community Eligibility Option (CEO),false
Major General William R Shafter Elementary School,Hawaii Department of Education,Honolulu,380,98,Yes participating without using any Provision or the CEO,false
Major Sheldon Wheeler Elementary School,Hawaii Department of Education,Wahiawa,598,262,Yes participating without using any Provision or the CEO,false
Major Sheldon Wheeler Middle School,Hawaii Department of Education,Wahiawa,729,283,Yes participating without using any Provision or the CEO,false
Makaha Elementary School,Hawaii Department of Education,Waianae,409,324,Yes under Community Eligibility Option (CEO),false
Makakilo Elementary School,Hawaii Department of Education,Kapolei,454,215,Yes participating without using any Provision or the CEO,false
Makalapa Elementary School,Hawaii Department of Education,Honolulu,579,270,Yes participating without using any Provision or the CEO,false
Makawao Elementary School,Hawaii Department of Education,Makawao,463,239,Yes participating without using any Provision or the CEO,false
Malama Honua Charter School,Hawaii Department of Education,Waimanalo,170,86,Yes participating without using any Provision or the CEO,true
Manana Elementary School,Hawaii Department of Education,Pearl City,270,94,Yes participating without using any Provision or the CEO,false
Manoa Elementary School,Hawaii Department of Education,Honolulu,518,95,Yes participating without using any Provision or the CEO,false
Maui High School,Hawaii Department of Education,Kahului,1725,603,Yes participating without using any Provision or the CEO,false
Maui Waena Intermediate School,Hawaii Department of Education,Kahului,1015,494,Yes participating without using any Provision or the CEO,true
Mauka Lani Elementary School,Hawaii Department of Education,Kapolei,549,229,Yes participating without using any Provision or the CEO,false
Maunaloa Elementary School,Hawaii Department of Education,Maunaloa,49,37,Yes under Community Eligibility Option (CEO),false
Maunawili Elementary School,Hawaii Department of Education,Kailua,361,98,Yes participating without using any Provision or the CEO,false
Mayor John H Wilson Elementary School,Hawaii Department of Education,Honolulu,513,77,Yes participating without using any Provision or the CEO,false
