school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Green Mountain Union High School,Green Mountain Unified School District #77,Chester,300,179,Yes under Community Eligibility Option (CEO)
Green Street School,Windham Southeast Unified Union School District #96,Brattleboro,237,148,Yes under Community Eligibility Option (CEO)
Guilford Central School,Windham Southeast Unified Union School District #96,Guilford,143,76,Yes under Community Eligibility Option (CEO)
Halifax West School,Halifax School District,West Halifax,66,36,Yes under Community Eligibility Option (CEO)
Hardwick Elementary School,Mountain View Union Elementary School District #94,Hardwick,223,140,Yes under Community Eligibility Option (CEO)
Hartford High School,Hartford School District,White River Junction,502,241,Yes under Community Eligibility Option (CEO)
Hartford Memorial Middle School,Hartford School District,White River Junction,280,135,Yes under Community Eligibility Option (CEO)
Hartland Elementary School,Hartland School District,Hartland,272,114,Yes under Community Eligibility Option (CEO)
Harwood Union Middle/High School,Harwood Unified Union School District #60,Moretown,556,174,Yes under Community Eligibility Option (CEO)
Hazen Union High School,Hazen Union High School District #26,Hardwick,265,167,Yes under Community Eligibility Option (CEO)
Hiawatha Elementary School,Essex Westford Educational Community Unified Union SD #51,Essex Junction,203,73,Yes under Community Eligibility Option (CEO)
Highgate Elementary School,Missisquoi Valley School District #89,Highgate Center,282,166,Yes under Community Eligibility Option (CEO)
Hinesburg Community School,Champlain Valley Unified Union School District #56,Hinesburg,542,159,Yes under Community Eligibility Option (CEO)
Hyde Park Elementary School,Lamoille North Modified Union School District #058A,Hyde Park,220,117,Yes under Community Eligibility Option (CEO)
Integrated Arts Academy at H. O. Wheeler,Burlington School District,Burlington,201,127,Yes under Community Eligibility Option (CEO)
Irasburg Village School,Lake Region Union Elementary Middle School District,Irasburg,87,49,Yes under Community Eligibility Option (CEO)
J. F. Kennedy Elementary School,Winooski Incorporated School District,Winooski,421,287,Yes under Community Eligibility Option (CEO)
J. J. Flynn School,Burlington School District,Burlington,292,180,Yes under Community Eligibility Option (CEO)
Jamaica Village School,West River Valley Union Education District #72A,Jamaica,9,9,Yes under Community Eligibility Option (CEO)
Jay/Westfield Joint Elementary School,Jay/Westfield Joint Elementary School District,Jay,81,31,Yes under Community Eligibility Option (CEO)
Jericho Elementary School,Mount Mansfield Unified Union School District #401,Jericho,400,56,Yes under Provision 2
Johnson Elementary School,Lamoille North Modified Union School District #058A,Johnson,185,134,Yes under Community Eligibility Option (CEO)
Killington Elementary School,Mountain Views Unified Union School District #76,Killington,112,33,Yes under Community Eligibility Option (CEO)
Lake Region Union High School,Lake Region Union High School District #24,Orleans,353,203,Yes under Community Eligibility Option (CEO)
Lakeview Union School,Mountain View Union Elementary School District #94,Greensboro,29,20,Yes under Community Eligibility Option (CEO)
Lamoille Union High School,Lamoille North Modified Union School District #058B,Hyde Park,506,276,Yes under Community Eligibility Option (CEO)
Lamoille Union Middle School,Lamoille North Modified Union School District #058B,Hyde Park,229,125,Yes under Community Eligibility Option (CEO)
Leland & Gray Union Middle & High School,West River Valley Union Education District #72B,Townshend,243,125,Yes under Community Eligibility Option (CEO)
Lincoln Community School,Lincoln Town School District,Lincoln,102,29,Yes under Community Eligibility Option (CEO)
Lothrop School,Otter Valley Unified Union School District #53,Pittsford,192,74,Yes under Community Eligibility Option (CEO)
Lowell Graded School,Lowell School District,Lowell,79,65,Yes under Community Eligibility Option (CEO)
Ludlow Elementary School,Ludlow Mt. Holly Unified Union School District #83,Ludlow,79,50,Yes under Community Eligibility Option (CEO)
Lunenburg & Gilman Schools,Kingdom East Unified Union School District #64,Gilman,64,47,Yes under Community Eligibility Option (CEO)
Lyman C. Hunt Middle School,Burlington School District,Burlington,322,171,Yes under Community Eligibility Option (CEO)
Lyndon Town School,Kingdom East Unified Union School District #64,Lyndonville,471,304,Yes under Community Eligibility Option (CEO)
Main Street Middle School,Montpelier Roxbury Unified Union School District #71,Montpelier,348,99,Yes under Community Eligibility Option (CEO)
Malletts Bay School,Colchester School District,Colchester,505,176,Yes under Community Eligibility Option (CEO)
Manchester Elementary/Middle School,Taconic and Green Regional School District #63,Manchester Center,396,186,Yes under Community Eligibility Option (CEO)
Marion W. Cross School,Norwich School District,Norwich,345,25,Yes under Provision 2
Marlboro Elementary School,Marlboro School District,Marlboro,76,41,Yes under Community Eligibility Option (CEO)
Mary Hogan School,Addison Central Unified Union School District #55,Middlebury,484,204,Yes under Community Eligibility Option (CEO)
Mettawee Community School,Mettawee School District #84,West Pawlet,124,77,Yes under Community Eligibility Option (CEO)
Middlebury Union High School,Addison Central Unified Union School District #55,Middlebury,521,190,Yes under Community Eligibility Option (CEO)
Middlebury Union Middle School,Addison Central Unified Union School District #55,Middlebury,381,133,Yes under Community Eligibility Option (CEO)
Middletown Springs Elementary School,Wells Spring Unified Union School District #69,Middletown Springs,54,29,Yes under Community Eligibility Option (CEO)
Mill River Union High School,Mill River Unified Union School District #52,North Clarendon,368,184,Yes under Community Eligibility Option (CEO)
Millers Run School,Kingdom East Unified Union School District #64,Sheffield,146,95,Yes under Community Eligibility Option (CEO)
Milton Elementary School,Milton School District,Milton,625,291,Yes under Community Eligibility Option (CEO)
Milton Middle School,Milton School District,Milton,420,207,Yes under Community Eligibility Option (CEO)
Milton Senior High School,Milton School District,Milton,394,167,Yes under Community Eligibility Option (CEO)
Missisquoi Valley Union High School,Missisquoi Valley School District #89,Swanton,759,406,Yes under Community Eligibility Option (CEO)
Molly Stark School,Southwest Vermont Union Elementary School District #87,Bennington,402,339,Yes under Community Eligibility Option (CEO)
Monkton Central School,Mt. Abraham Unified School District #61,Monkton,160,39,Yes under Community Eligibility Option (CEO)
Montgomery Elementary School,Northern Mountain Valley Unified Union School District #85,Montgomery Center,157,74,Yes under Community Eligibility Option (CEO)
Montpelier High School,Montpelier Roxbury Unified Union School District #71,Montpelier,388,117,Yes under Community Eligibility Option (CEO)
Monument Elementary School,Southwest Vermont Union Elementary School District #87,Bennington,147,113,Yes under Community Eligibility Option (CEO)
Moretown Elementary School,Harwood Unified Union School District #60,Moretown,169,39,Yes under Provision 2
Morristown Elementary School,Elmore-Morristown Unified Union School District #90,Morrisville,282,166,Yes under Community Eligibility Option (CEO)
Mt. Abraham Union High School,Mt. Abraham Unified School District #61,Bristol,560,219,Yes under Community Eligibility Option (CEO)
Mt. Anthony Senior Union High School,Mount Anthony Union High School District #14,Bennington,855,661,Yes under Community Eligibility Option (CEO)
Mt. Anthony Union Middle School,Mount Anthony Union High School District #14,Bennington,484,411,Yes under Community Eligibility Option (CEO)
Mt. Holly School,Ludlow Mt. Holly Unified Union School District #83,Mount Holly,103,59,Yes under Community Eligibility Option (CEO)
Mt. Mansfield Union High School,Mount Mansfield Unified Union School District #401,Jericho,688,131,Yes under Provision 2
Neshobe School,Otter Valley Unified Union School District #53,Brandon,387,195,Yes under Community Eligibility Option (CEO)
Newark School,Kingdom East Unified Union School District #64,Newark,51,27,Yes under Community Eligibility Option (CEO)
Newbrook Elementary School,West River Valley Union Education District #72A,Newfane,96,43,Yes under Community Eligibility Option (CEO)
Newbury Elementary School,Oxbow Unified Union School District #91,Newbury,112,76,Yes under Community Eligibility Option (CEO)
Newport City Elementary School,Newport City School District,Newport,316,259,Yes under Community Eligibility Option (CEO)
Newport Town School,Newport Town School District,Newport Center,120,89,Yes under Community Eligibility Option (CEO)
Newton School,Strafford School District,South Strafford,116,41,Yes under Community Eligibility Option (CEO)
North Country Union High School,North Country Union High School District,Newport,678,413,Yes under Community Eligibility Option (CEO)
North Country Union Junior High School,North Country Union Junior High School District,Derby,234,152,Yes under Community Eligibility Option (CEO)
North Hero School,Champlain Islands Unified Union School District #66,North Hero,48,28,Yes under Community Eligibility Option (CEO)
Northeast Primary School,Rutland City School District,Rutland,237,156,Yes under Community Eligibility Option (CEO)
Northfield Elementary School,Paine Mountain Union School District #68,Northfield,263,124,Yes under Community Eligibility Option (CEO)
Northfield Middle/High School,Paine Mountain Union School District #68,Northfield,254,114,Yes under Community Eligibility Option (CEO)
Northwest Primary School,Rutland City School District,Rutland,200,163,Yes under Community Eligibility Option (CEO)
Oak Grove School,Windham Southeast Unified Union School District #96,Brattleboro,125,88,Yes under Community Eligibility Option (CEO)
Orange Center School,Echo Valley Community Union School District #67,East Barre,80,46,Yes under Community Eligibility Option (CEO)
Orchard School,South Burlington School District,South Burlington,402,125,Yes under Community Eligibility Option (CEO)
Orleans Elementary School,Lake Region Union Elementary Middle School District,Orleans,132,100,Yes under Community Eligibility Option (CEO)
Orwell Village School,Slate Valley Unified Union School District #62,Orwell,115,72,Yes under Community Eligibility Option (CEO)
Ottauquechee School,Hartford School District,Quechee,180,79,Yes under Community Eligibility Option (CEO)
Otter Creek Academy at Leicester Sudbury and Whiting,Otter Valley Unified Union School District #53,Whiting,92,47,Yes under Community Eligibility Option (CEO)
Otter Valley Union High School,Otter Valley Unified Union School District #53,Brandon,487,204,Yes under Community Eligibility Option (CEO)
Oxbow Union High School,Oxbow Unified Union School District #91,Bradford,322,194,Yes under Community Eligibility Option (CEO)
Peacham Elementary School,Peacham School District,Peacham,59,21,Yes under Community Eligibility Option (CEO)
Peoples Academy,Elmore-Morristown Unified Union School District #90,Morrisville,282,137,Yes under Community Eligibility Option (CEO)
Peoples Academy Middle School,Elmore-Morristown Unified Union School District #90,Morrisville,229,134,Yes under Community Eligibility Option (CEO)
Porters Point School,Colchester School District,Colchester,359,91,Yes under Community Eligibility Option (CEO)
Poultney Elementary School,Quarry Valley Unified Union School District #70,Poultney,267,158,Yes under Community Eligibility Option (CEO)
Poultney High School,Quarry Valley Unified Union School District #70,Poultney,208,113,Yes under Community Eligibility Option (CEO)
