school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
Betsy Layne Elementary School,Floyd County,Betsy Layne,638,533,Yes under Community Eligibility Option (CEO),true
Betsy Layne High School,Floyd County,Stanville,387,290,Yes under Community Eligibility Option (CEO),true
Bevins Elementary School,Pike County,Sidney,236,184,Yes under Community Eligibility Option (CEO),false
Big Creek Elementary,Clay County,Oneida,136,111,Yes under Community Eligibility Option (CEO),false
Biggs Early Childhood Education Ctr,Covington Independent,Covington,285,250,Yes under Community Eligibility Option (CEO),false
Binet School,Jefferson County,Louisville,22,15,Yes under Community Eligibility Option (CEO),true
Black Mountain Elementary School,Harlan County,Evarts,248,225,Yes under Community Eligibility Option (CEO),true
Blaine Elementary School,Lawrence County,Blaine,149,119,Yes under Community Eligibility Option (CEO),true
Blake Elementary,Jefferson County,Louisville,561,408,Yes under Community Eligibility Option (CEO),false
Bloom Elementary,Jefferson County,Louisville,533,118,Yes under Community Eligibility Option (CEO),false
Bloomfield Elementary School,Nelson County,Bloomfield,225,176,Yes under Community Eligibility Option (CEO),false
Bloomfield Middle School,Nelson County,Bloomfield,296,144,Yes under Community Eligibility Option (CEO),true
Blue Lick Elementary,Jefferson County,Louisville,508,383,Yes under Community Eligibility Option (CEO),false
Bluegrass Challenge Academy,Kentucky National Guard Youth ChalleNGe Academies,Fort Knox,80,3,Yes under Community Eligibility Option (CEO),false
Bluegrass Learning Academy,Christian County,Hopkinsville,130,109,Yes under Community Eligibility Option (CEO),true
Bluegrass Middle School,Hardin County,Elizabethtown,583,325,Yes under Community Eligibility Option (CEO),true
Bondurant Middle School,Franklin County,Frankfort,600,331,Yes under Community Eligibility Option (CEO),true
Bonnieville Elementary School,Hart County,Bonnieville,313,204,Yes under Community Eligibility Option (CEO),true
Booker T Washington Elementary School,Fayette County,Lexington,377,308,Yes under Community Eligibility Option (CEO),false
Boone County High School,Boone County,Florence,1252,659,Yes under Community Eligibility Option (CEO),true
Boonesborough Elementary,Madison County,Richmond,406,157,Yes under Community Eligibility Option (CEO),false
Boston Elementary School,Whitley County,Williamsburg,206,180,Yes under Community Eligibility Option (CEO),false
Boston School,Nelson County,Boston,251,138,Yes under Community Eligibility Option (CEO),true
Botts Early Learning Center,Menifee County,Denniston,29,5,Yes under Community Eligibility Option (CEO),false
Bourbon Central Elementary School,Bourbon County,Paris,459,312,Yes under Community Eligibility Option (CEO),false
Bourbon County High School,Bourbon County,Paris,764,442,Yes under Community Eligibility Option (CEO),true
Bourbon County Middle School,Bourbon County,Paris,555,337,Yes under Community Eligibility Option (CEO),true
Bourbon County Preschool Headstart,Bourbon County,Paris,198,153,Yes under Community Eligibility Option (CEO),false
Bowen Elementary,Jefferson County,Louisville,729,311,Yes under Community Eligibility Option (CEO),false
Bowen Elementary School,Powell County,Stanton,231,161,Yes under Community Eligibility Option (CEO),false
